row_label_raw,row_label_full,Nhà xuống và vật kiến trúc,25,numeric__25
Máy móc và thiết bị,Máy móc và thiết bị,Máy móc và thiết bị,3 - 10,
Thiết bị quản lý,Thiết bị quản lý,Thiết bị quản lý,3 - 6,
Phương tiện vận tải,Thiết bị quản lý > Phương tiện vận tải,Phương tiện vận tải,6,6.0
