row_label_raw,row_label_full,col_0,Tại ngày1.1.2021VND,TăngVND,GiảmVND,Đánh giá lạiVND,Nợ dài hạnđến hạn trảVND,Tại ngày31.12.2021VND,numeric__Tại ngày1.1.2021VND,numeric__TăngVND,numeric__GiảmVND,numeric__Đánh giá lạiVND,numeric__Nợ dài hạnđến hạn trảVND,numeric__Tại ngày31.12.2021VND
Vay ngân hàng,Vay ngân hàng,Vay ngân hàng,1.963.867.248.970,6.116.927.650.109,(8.525.000.000),(70.059.447.358),(492.090.000.000),7.510.120.451.721,1963867248970.0,6116927650109.0,-8525000000.0,-70059447358.0,-492090000000.0,7510120451721.0
Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau:,,,,,,
,,,,Tại ngày31.12.2021VND,Mục đích vay,Kỳ hạn trả gốc,Lãi suất,Tài sảnthe chấp,,,,,,
"Ngân hàng Mizuho Bank, Ltd","Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng Mizuho Bank, Ltd","Ngân hàng Mizuho Bank, Ltd",,2.183.082.557.573,"Mua sắm, xây dựng TSCĐ",Đến ngày 13 tháng 5 năm 2027,"Libor + 1,74%",Tín chấp,,2183082557573.0,,,,
Ngân hàng Đầu tư và Phát triển Việt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng Đầu tư và Phát triển Việt Nam,Ngân hàng Đầu tư và Phát triển Việt Nam,,1.654.824.419.129,"Mua sắm, xây dựng TSCĐ",36 tháng kể từ ngày giải ngân,(ii),Tín chấp,,1654824419129.0,,,,
Ngân hàng TMCP Ngoại thương Việt NamTrong đó:,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Ngoại thương Việt NamTrong đó:,Ngân hàng TMCP Ngoại thương Việt NamTrong đó:,,1.014.935.056.111,"Mua sắm, xây dựng TSCĐ",,,,,1014935056111.0,,,,
Khoản vay 1,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Khoản vay 1,Khoản vay 1,,1.010.715.197.067,,36 tháng kể từ ngày giải ngân,(ii),Tín chấpTSCĐ vô hình(Thuyết minh 11(b)),,1010715197067.0,,,,
Khoản vay 2,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Khoản vay 2,Khoản vay 2,,4.219.859.044,,42 tháng kể từ ngày giải ngân,(iii),Tín chấpTSCĐ vô hình(Thuyết minh 11(b)),,4219859044.0,,,,
Ngân hàng Thương mại Taipei Fubon,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng Thương mại Taipei Fubon,Ngân hàng Thương mại Taipei Fubon,,878.755.558.429,"Mua sắm, xây dựng TSCĐ",42 tháng kể từ ngày giải ngân,"Libor + 1,7%",Tín chấp,,878755558429.0,,,,
Ngân hàng TMCP Đông Nam Á,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,,779.375.997.515,"Mua sắm, xây dựng TSCĐ",Đến ngày 29 tháng 8 năm 2027,(ii),Tín chấp,,779375997515.0,,,,
Ngân hàng TMCP Sài Gòn – Hà Nội,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Sài Gòn – Hà Nội,Ngân hàng TMCP Sài Gòn – Hà Nội,,610.605.100.538,"Mua sắm, xây dựng TSCĐ",24 tháng kể từ ngày giải ngân,(ii),Tín chấp,,610605100538.0,,,,
Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,,268.738.313.223,"Mua sắm, xây dựng TSCĐ",30 tháng kể từ ngày giải ngân,(ii),Tín chấp,,268738313223.0,,,,
Ngân hàng TMCP Hàng Hải Việt Nam,Chi tiết số dư cuối năm của khoản vay dài hạn như sau: > Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,,119.803.449.203,"Mua sắm, xây dựng TSCĐ",Đến ngày 25 tháng 5 năm 2024,(i),Tín chấp,,119803449203.0,,,,
