row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm máy tính VND,Khác VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm máy tính VND,numeric__Khác VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,368.982.030.963,216.252.682.992,-,585.234.713.955,368982030963.0,216252682992.0,,585234713955.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,28.922.538.662,462.220.670,29.384.759.332,,28922538662.0,462220670.0,29384759332.0
Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ xây dựng cơ bảnđở dang (Thuyết minh 12),-,4.579.172.727,-,4.579.172.727,,4579172727.0,,4579172727.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(11.986.576.407),-,(11.986.576.407),,-11986576407.0,,-11986576407.0
Khác,Nguyên giá > Khác,Khác,(20.312.433.955),(940.000.000),2.272.066.077,(18.980.367.878),-20312433955.0,-940000000.0,2272066077.0,-18980367878.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,348.669.597.008,236.827.817.974,2.734.286.747,588.231.701.729,348669597008.0,236827817974.0,2734286747.0,588231701729.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,7.187.656.536,139.551.573.707,-,146.739.230.243,7187656536.0,139551573707.0,,146739230243.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,933.159.810,42.819.877.546,457.568.865,44.210.606.221,933159810.0,42819877546.0,457568865.0,44210606221.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,-,(11.986.576.407),-,(11.986.576.407),,-11986576407.0,,-11986576407.0
Khác,Khấu hao lũy kế > Khác,Khác,-,(1.398.949.403),441.790.626,(957.158.777),,-1398949403.0,441790626.0,-957158777.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,8.120.816.346,168.985.925.443,899.359.491,178.006.101.280,8120816346.0,168985925443.0,899359491.0,178006101280.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,361.794.374.427,76.701.109.285,-,438.495.483.712,361794374427.0,76701109285.0,,438495483712.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,340.548.780.662,67.841.892.531,1.834.927.256,410.225.600.449,340548780662.0,67841892531.0,1834927256.0,410225600449.0
