row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócthiết bịVND,Phương tiệnvận tảiVND,Thiết bịquản lýVND,Công trình khí vàthiết bị khácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócthiết bịVND,numeric__Phương tiệnvận tảiVND,numeric__Thiết bịquản lýVND,numeric__Công trình khí vàthiết bị khácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2021,Nguyên giá > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,6.607.145.761.593,5.251.622.744.298,868.962.157.433,376.006.230.174,41.635.481.418.541,54.739.218.312.039,6607145761593.0,5251622744298.0,868962157433.0,376006230174.0,41635481418541.0,54739218312039.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,12.844.326.637,33.067.125.833,18.081.482.058,22.506.283.552,19.770.137.699,106.269.355.779,12844326637.0,33067125833.0,18081482058.0,22506283552.0,19770137699.0,106269355779.0
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),2.270.370.319,94.340.160.476,-,1.696.666.969,1.119.705.416.255,1.218.012.614.019,2270370319.0,94340160476.0,,1696666969.0,1119705416255.0,1218012614019.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(94.232.564),(4.740.245.088),(596.816.667),(5.122.895.074),(77.370.000),(10.631.559.393),-94232564.0,-4740245088.0,-596816667.0,-5122895074.0,-77370000.0,-10631559393.0
Khác,Nguyên giá > Khác,Khác,9.878.608.619,(1.158.102.394),6.169.491.183,1.701.209.536,-,16.591.206.944,9878608619.0,-1158102394.0,6169491183.0,1701209536.0,,16591206944.0
Tại ngày 31 tháng 12 năm 2021,Nguyên giá > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,6.632.044.834.604,5.373.131.683.125,892.616.314.007,396.787.495.157,42.774.879.602.495,56.069.459.929.388,6632044834604.0,5373131683125.0,892616314007.0,396787495157.0,42774879602495.0,56069459929388.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,4.347.751.483.193,2.987.190.787.078,704.635.668.271,298.460.574.445,27.066.074.084.766,35.404.112.597.753,4347751483193.0,2987190787078.0,704635668271.0,298460574445.0,27066074084766.0,35404112597753.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,408.286.048.969,150.190.703.702,29.403.359.441,45.649.726.290,2.373.373.808.310,3.006.903.646.712,408286048969.0,150190703702.0,29403359441.0,45649726290.0,2373373808310.0,3006903646712.0
Thanh lý,Khấu hao lũy kế > Thanh lý,Thanh lý,(94.232.564),(4.740.245.088),(596.816.667),(5.122.895.074),(77.370.000),(10.631.559.393),-94232564.0,-4740245088.0,-596816667.0,-5122895074.0,-77370000.0,-10631559393.0
Khác,Khấu hao lũy kế > Khác,Khác,(19.472.222.484),-,-,453.992.044,50.206.444,(18.968.023.996),-19472222484.0,,,453992044.0,50206444.0,-18968023996.0
Tại ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,4.736.471.077.114,3.132.641.245.692,733.442.211.045,339.441.397.705,29.439.420.729.520,38.381.416.661.076,4736471077114.0,3132641245692.0,733442211045.0,339441397705.0,29439420729520.0,38381416661076.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2021,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2021,Tại ngày 1 tháng 1 năm 2021,2.259.394.278.400,2.264.431.957.220,164.326.489.162,77.545.655.729,14.569.407.333.775,19.335.105.714.286,2259394278400.0,2264431957220.0,164326489162.0,77545655729.0,14569407333775.0,19335105714286.0
Tại ngày 31 tháng 12 năm 2021,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,1.895.573.757.490,2.240.490.437.433,159.174.102.962,57.346.097.452,13.335.458.872.975,17.688.043.268.312,1895573757490.0,2240490437433.0,159174102962.0,57346097452.0,13335458872975.0,17688043268312.0
