row_label_raw,row_label_full,Các bên liên quan khác,Các bên liên quan khác_1,Các bên liên quan khác_2,numeric__Các bên liên quan khác_1,numeric__Các bên liên quan khác_2
Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,Tổng Công ty Điện lực Dầu khí Việt Nam,2.960.942.561.950,583.144.806.880,2960942561950.0,583144806880.0
Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,330.013.157.891,236.962.736.585,330013157891.0,236962736585.0
Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,Tổng Công ty Tư vấn Thiết kế Dầu khí - CTCP,127.278.832.169,118.239.877.268,127278832169.0,118239877268.0
Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,Công ty Cổ phần Hóa dầu và Xơ sợi Dầu khí,46.042.688.142,46.042.688.142,46042688142.0,46042688142.0
Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,Tổng Công ty Cổ phần Dịch vụ Kỹ thuật Dầu khí Việt Nam,691.570.052,30.449.431.838,691570052.0,30449431838.0
Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,Tổng Công ty Cổ phần Xây lắp Dầu khí Việt Nam,1.623.094.684,12.326.159.524,1623094684.0,12326159524.0
Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,Tổng Công ty Cổ phần Vận tải Dầu khí,42.824.781.520,5.879.400.696,42824781520.0,5879400696.0
Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,Tổng Công ty Dầu Việt Nam - CTCP,119.015.926.892,2.328.717.653,119015926892.0,2328717653.0
Tổng Công ty Hóa chất và Dịch vụ Dầu Khí,Tổng Công ty Hóa chất và Dịch vụ Dầu Khí,Tổng Công ty Hóa chất và Dịch vụ Dầu Khí,25.453.339.903,-,25453339903.0,
Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,Liên doanh Việt - Nga Vietsovpetro,16.020.790.367,-,16020790367.0,
