row_label_raw,row_label_full,Tại ngày 1 tháng 1 năm2020,Vốn góp của chủ sở hữu VND > 19.139.500.000.000,Thặng dư vốn cổ phần VND > 210.679.541.297,Vốn khác của chủ sở hữu VND > 196.658.562.648,Quỹ đầu tư phát triển VND > 18.844.379.948.876,Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,LNST chưa phân phối năm trước VND > 59.908.671.304,LNST chưa phân phối năm nay VND > 10.049.552.516.152,Lợi ích cổ đông không kiểm soát VND > 1.107.564.799.241,Tổng cộng VND > 49.614.531.357.631,numeric__Vốn góp của chủ sở hữu VND > 19.139.500.000.000,numeric__Thặng dư vốn cổ phần VND > 210.679.541.297,numeric__Vốn khác của chủ sở hữu VND > 196.658.562.648,numeric__Quỹ đầu tư phát triển VND > 18.844.379.948.876,numeric__Quỹ khác thuộc vốn chủ sở hữu VND > 6.287.318.113,numeric__LNST chưa phân phối năm trước VND > 59.908.671.304,numeric__LNST chưa phân phối năm nay VND > 10.049.552.516.152,numeric__Lợi ích cổ đông không kiểm soát VND > 1.107.564.799.241,numeric__Tổng cộng VND > 49.614.531.357.631
Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,Kết chuyển LNST chưa phân phối,,-,-,-,-,10.049.552.516.152,(10.049.552.516.152),-,-,,,,,,10049552516152.0,-10049552516152.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,-,-,-,-,-,7.854.955.921.939,116.835.298.013,7.971.791.219.952,,,,,,,7854955921939.0,116835298013.0,7971791219952.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,-,-,9.446.895.016,-,(9.446.895.016),-,-,-,,,,9446895016.0,,-9446895016.0,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,-,-,-,-,(6.698.825.000.000),-,(151.237.019.942),(6.850.062.019.942),,,,,,-6698825000000.0,,-151237019942.0,-6850062019942.0
"Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 19)",,-,-,-,-,(157.870.336.935),(145.745.894.556),(19.525.063.326),(323.141.294.817),,,,,,-157870336935.0,-145745894556.0,-19525063326.0,-323141294817.0
Tiền chênh lệch giá khí phải trả cho Nhà nước,Tiền chênh lệch giá khí phải trả cho Nhà nước,Tiền chênh lệch giá khí phải trả cho Nhà nước,,-,-,-,-,(1.186.877.709.681),-,-,(1.186.877.709.681),,,,,,-1186877709681.0,,,-1186877709681.0
Thuế TNDN điều chỉnh giảmliên quan đến chi phí trảtiền chênh lệch giá khí choNhà nước,Thuế TNDN điều chỉnh giảmliên quan đến chi phí trảtiền chênh lệch giá khí choNhà nước,Thuế TNDN điều chỉnh giảmliên quan đến chi phí trảtiền chênh lệch giá khí choNhà nước,,-,-,-,-,237.375.541.937,-,-,237.375.541.937,,,,,,237375541937.0,,,237375541937.0
Khác,Khác,Khác,,-,-,-,-,25.663.387.790,(16.931.063),10.417.433.647,36.063.890.374,,,,,,25663387790.0,-16931063.0,10417433647.0,36063890374.0
Tại ngày 31 tháng 12 năm2020,Tại ngày 31 tháng 12 năm2020,Tại ngày 31 tháng 12 năm2020,19.139.500.000.000,210.679.541.297,196.658.562.648,18.853.826.843.892,6.287.318.113,2.319.480.175.551,7.709.193.096.320,1.064.055.447.633,49.499.680.985.454,19139500000000.0,210679541297.0,196658562648.0,18853826843892.0,6287318113.0,2319480175551.0,7709193096320.0,1064055447633.0,49499680985454.0
Kết chuyển LNSTchưa phân phối,Kết chuyển LNSTchưa phân phối,Kết chuyển LNSTchưa phân phối,,-,-,-,-,7.709.193.096.320,(7.709.193.096.320),-,-,,,,,,7709193096320.0,-7709193096320.0,,
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,-,-,-,-,-,8.672.965.062.460,178.847.067.250,8.851.812.129.710,,,,,,,8672965062460.0,178847067250.0,8851812129710.0
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,,-,-,2.200.012.836.348,-,(2.200.012.836.348),-,-,-,,,,2200012836348.0,,-2200012836348.0,,,
"Trích quỹ khen thưởng,phúc lợi (Thuyết minh 20) (*)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 20) (*)","Trích quỹ khen thưởng,phúc lợi (Thuyết minh 20) (*)",,-,-,-,-,(161.071.580.589),(152.466.661.012),(21.382.445.637),(334.920.687.238),,,,,,-161071580589.0,-152466661012.0,-21382445637.0,-334920687238.0
Chia cổ tức (*),Chia cổ tức (*),Chia cổ tức (*),,-,-,-,-,(5.741.850.000.000),-,(123.022.815.742),(5.864.872.815.742),,,,,,-5741850000000.0,,-123022815742.0,-5864872815742.0
Khác,Khác,Khác,,-,-,-,-,34.227.830.465,6.827.183.169,(23.950.688),41.031.062.946,,,,,,34227830465.0,6827183169.0,-23950688.0,41031062946.0
Tại ngày 31 tháng 12 năm2021,Tại ngày 31 tháng 12 năm2021,Tại ngày 31 tháng 12 năm2021,19.139.500.000.000,210.679.541.297,196.658.562.648,21.053.839.680.240,6.287.318.113,1.959.966.685.399,8.527.325.584.617,1.098.473.302.816,52.192.730.675.130,19139500000000.0,210679541297.0,196658562648.0,21053839680240.0,6287318113.0,1959966685399.0,8527325584617.0,1098473302816.0,52192730675130.0
