row_label_raw,row_label_full,col_0,2021 > Giá trị gốc VND,2021 > Giá trị có thể thu hồi VND,2021 > Dự phòng VND,2020 > Giá trị gốc VND,2020 > Giá trị có thể thu hồi VND,2020 > Dự phòng VND,numeric__2021 > Giá trị gốc VND,numeric__2021 > Giá trị có thể thu hồi VND,numeric__2021 > Dự phòng VND,numeric__2020 > Giá trị gốc VND,numeric__2020 > Giá trị có thể thu hồi VND,numeric__2020 > Dự phòng VND
Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,Công ty Cổ phần Sản xuất - Dịch vụ - Thương mại - Xây dựng Thành Tài,67.718.428.941,-,67.718.428.941,68.789.423.236,-,68.789.423.236,67718428941.0,,67718428941.0,68789423236.0,,68789423236.0
Trên 3 năm,Trên 3 năm,Trên 3 năm,67.718.428.941,-,67.718.428.941,68.789.423.236,-,68.789.423.236,67718428941.0,,67718428941.0,68789423236.0,,68789423236.0
Tổng Công ty Tư vấn Thiết kế Dầu khí – CTCP (*),Tổng Công ty Tư vấn Thiết kế Dầu khí – CTCP (*),Tổng Công ty Tư vấn Thiết kế Dầu khí – CTCP (*),121.258.112.949,40.877.506.801,80.380.606.148,113.288.140.492,32.907.534.344,80.380.606.148,121258112949.0,40877506801.0,80380606148.0,113288140492.0,32907534344.0,80380606148.0
Trên 3 năm,Trên 3 năm,Trên 3 năm,91.082.300.358,10.701.694.210,80.380.606.148,76.509.984.124,-,76.509.984.124,91082300358.0,10701694210.0,80380606148.0,76509984124.0,,76509984124.0
Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,15.018.623.577,15.018.623.577,-,14.572.316.234,10.701.694.210,3.870.622.024,15018623577.0,15018623577.0,,14572316234.0,10701694210.0,3870622024.0
Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,11.267.962.106,11.267.962.106,-,15.018.623.577,15.018.623.577,-,11267962106.0,11267962106.0,,15018623577.0,15018623577.0,
Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,3.889.226.908,3.889.226.908,-,7.187.216.557,7.187.216.557,-,3889226908.0,3889226908.0,,7187216557.0,7187216557.0,
Công Ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công Ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,Công Ty Cổ phần Điện lực Dầu khí Nhơn Trạch 2,791.970.489.560,528.528.566.337,263.441.923.223,61.295.246.155,33.445.611.980,27.849.634.175,791970489560.0,528528566337.0,263441923223.0,61295246155.0,33445611980.0,27849634175.0
Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,53.415.208.166,16.024.562.450,37.390.645.716,-,-,-,53415208166.0,16024562450.0,37390645716.0,,,
Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,22.423.465.443,11.211.732.721,11.211.732.722,47.305.301.642,23.652.650.821,23.652.650.821,22423465443.0,11211732721.0,11211732722.0,47305301642.0,23652650821.0,23652650821.0
Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,716.131.815.951,501.292.271.166,214.839.544.785,13.989.944.513,9.792.961.159,4.196.983.354,716131815951.0,501292271166.0,214839544785.0,13989944513.0,9792961159.0,4196983354.0
Chi nhánh Tổng Công ty Điện lực Dầu khi Việt Nam - CTCP - Công ty Điện lực Dầu khi Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực Dầu khi Việt Nam - CTCP - Công ty Điện lực Dầu khi Nhơn Trạch,Chi nhánh Tổng Công ty Điện lực Dầu khi Việt Nam - CTCP - Công ty Điện lực Dầu khi Nhơn Trạch,215.771.693.118,100.713.276.391,115.058.416.729,128.240.067.515,75.168.682.159,53.071.385.356,215771693118.0,100713276391.0,115058416729.0,128240067515.0,75168682159.0,53071385356.0
Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,Từ 2 năm đến 3 năm,82.495.888.495,24.748.766.549,57.747.121.947,-,-,-,82495888495.0,24748766549.0,57747121947.0,,,
Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,86.642.766.975,43.321.383.488,43.321.383.488,72.996.825.509,36.498.412.754,36.498.412.755,86642766975.0,43321383488.0,43321383488.0,72996825509.0,36498412754.0,36498412755.0
Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,Từ 6 tháng đến 1 năm,46.633.037.648,32.643.126.354,13.989.911.294,55.243.242.006,38.670.269.405,16.572.972.601,46633037648.0,32643126354.0,13989911294.0,55243242006.0,38670269405.0,16572972601.0
Khác,Khác,Khác,118.110.280.114,3.070.746.997,115.039.533.117,115.853.081.141,-,115.853.081.141,118110280114.0,3070746997.0,115039533117.0,115853081141.0,,115853081141.0
Trên 3 năm,Trên 3 năm,Trên 3 năm,117.551.994.199,3.070.746.997,114.481.247.202,115.853.081.141,-,115.853.081.141,117551994199.0,3070746997.0,114481247202.0,115853081141.0,,115853081141.0
Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,Từ 1 năm đến 2 năm,558.285.915,-,558.285.915,-,-,-,558285915.0,,558285915.0,,,
,,,1.314.829.004.682,673.190.096.526,641.638.908.158,487.465.958.539,141.521.828.483,345.944.130.056,1314829004682.0,673190096526.0,641638908158.0,487465958539.0,141521828483.0,345944130056.0
