row_label_raw,row_label_full,col_0,Số lượng cổ phiếu,Số lượng cổ phiếu_1,numeric__Số lượng cổ phiếu,numeric__Số lượng cổ phiếu_1
,,,Số cuối năm,Số đầu năm,,
Cổ phiếu đã được duyệt,Cổ phiếu đã được duyệt,Cổ phiếu đã được duyệt,382.940.013,285.270.660,382940013.0,285270660.0
Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,Cổ phiếu đã phát hành,,,,
Cổ phiếu đã đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã phát hành > Cổ phiếu đã đã phát hành và được góp vốn đầy đủ,Cổ phiếu đã đã phát hành và được góp vốn đầy đủ,382.940.013,285.270.660,382940013.0,285270660.0
Cổ phiếu phổ thông,Cổ phiếu đã phát hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,382.940.013,285.270.660,382940013.0,285270660.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,,,,
Cổ phiếu quỹ do công ty mẹ nằm giữ,Cổ phiếu quỹ > Cổ phiếu quỹ do công ty mẹ nằm giữ,Cổ phiếu quỹ do công ty mẹ nằm giữ,-,(10.000.000),,-10000000.0
Cổ phiếu phổ thông,Cổ phiếu quỹ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,-,(10.000.000),,-10000000.0
Cổ phiếu quỹ do công ty con nằm giữ,Cổ phiếu quỹ > Cổ phiếu quỹ do công ty con nằm giữ,Cổ phiếu quỹ do công ty con nằm giữ,-,(11.319.134),,-11319134.0
Cổ phiếu phổ thông,Cổ phiếu quỹ > Cổ phiếu phổ thông,Cổ phiếu phổ thông,-,(11.319.134),,-11319134.0
Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,Cổ phiếu đang lưu hành,,,,
Cổ phiếu phổ thông,Cổ phiếu đang lưu hành > Cổ phiếu phổ thông,Cổ phiếu phổ thông,382.940.013,263.951.526,382940013.0,263951526.0
