row_label_raw,row_label_full,Các bênliên quan,Mối quan hệ,Nội dungnghiệp vụ,Số cuối năm,Số đầu năm,numeric__Mối quan hệ,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),Phải thu ngắn hạn khác (TM số 10),,,,
NNH Mizuki,Phải thu ngắn hạn khác (TM số 10) > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Thu nhập cổ tức,4.000.000.000,51.989.041.096,,,4000000000.0,51989041096.0
Southgate,Phải thu ngắn hạn khác (TM số 10) > Southgate,Southgate,Công tyliên doanh(dếng ngày 30tháng 9 năm2021),Phải thu khác,-,2.727.867.524,,,,2727867524.0
,,,,,4.000.000.000,54.716.908.620,,,4000000000.0,54716908620.0
Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),Phải thu dài hạn khác (TM số 10),,,,
Southgate,Phải thu dài hạn khác (TM số 10) > Southgate,Southgate,Công tyliên doanh(dếng ngày 30tháng 9 năm2021),Thu nhập cổ tức,-,97.107.260.274,,,,97107260274.0
