row_label_raw,row_label_full,Các bênliên quan,Môi quan hệ,Nội dungnghiệp vụ,Số cuối năm,Số đầu năm,numeric__Môi quan hệ,numeric__Nội dungnghiệp vụ,numeric__Số cuối năm,numeric__Số đầu năm
Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),Phải thu ngắn hạn của khách hàng (TM số 7),,,,
NNH Mizuki,Phải thu ngắn hạn của khách hàng (TM số 7) > NNH Mizuki,NNH Mizuki,Công tyliên doanh,Dịch vụ quản lýdự án,11.006.120.860,73.949.967.796,,,11006120860.0,73949967796.0
Southgate,Phải thu ngắn hạn của khách hàng (TM số 7) > Southgate,Southgate,Công tyliên doanh(đến ngày 30tháng 9 năm2021),Dịch vụ quản lýdự án,-,141.954.260.644,,,,141954260644.0
Đồng NaiWaterfront,Phải thu ngắn hạn của khách hàng (TM số 7) > Đồng NaiWaterfront,Đồng NaiWaterfront,Công tyliên kết(đến ngày 26tháng 2 năm2021),Dịch vụ xây dựng,-,41.075.378.127,,,,41075378127.0
Các cá nhân,Phải thu ngắn hạn của khách hàng (TM số 7) > Các cá nhân,Các cá nhân,Cổ đông,Bản căn hộ,-,51.000.000,,,,51000000.0
,,,,,11.006.120.860,257.030.606.567,,,11006120860.0,257030606567.0
