row_label_raw,row_label_full,col_0,Số cuối năm,VND > Số đầu năm,numeric__Số cuối năm,numeric__VND > Số đầu năm
Vốn điều lệ đã góp,Vốn điều lệ đã góp,Vốn điều lệ đã góp,2.775.393.993.174,1.011.897.763.970,2775393993174.0,1011897763970.0
Thặng dư vốn,Thặng dư vốn,Thặng dư vốn,26.394.994.873,26.394.994.873,26394994873.0,26394994873.0
Cổ phiếu quỹ,Cổ phiếu quỹ,Cổ phiếu quỹ,(656.280.000),(656.280.000),-656280000.0,-656280000.0
Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,Quỹ đầu tư và phát triển,62.463.835,62.463.835,62463835.0,62463835.0
Các quỹ khác thuộc vốn chủ sở hữu,Các quỹ khác thuộc vốn chủ sở hữu,Các quỹ khác thuộc vốn chủ sở hữu,577.917.539,577.917.539,577917539.0,577917539.0
Quỹ đánh giá lại tài sản,Quỹ đánh giá lại tài sản,Quỹ đánh giá lại tài sản,1.343.858.335.424,63.818.489,1343858335424.0,63818489.0
Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,Lợi nhuận sau thuế chưa phân phối,452.590.895.843,79.013.591.462,452590895843.0,79013591462.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,4.598.222.320.688,1.117.354.270.168,4598222320688.0,1117354270168.0
Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát:,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát:,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát:,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát:,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát:,,
,,,Năm nay,VND,,
,,,Năm nay,Năm trước,,
Số đầu năm,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Số đầu năm,Số đầu năm,1.117.354.270.168,1.145.105.732.185,1117354270168.0,1145105732185.0
Mua công ty con (TM số 4.1 và 4.2),Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Mua công ty con (TM số 4.1 và 4.2),Mua công ty con (TM số 4.1 và 4.2),3.157.628.811.526,-,3157628811526.0,
Lợi nhuận thuần trong năm,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,407.132.577.215,15.461.321.348,407132577215.0,15461321348.0
Thoái vốn bằng tiền,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Thoái vốn bằng tiền,Thoái vốn bằng tiền,-,(6.017.930.000),,-6017930000.0
Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,Giao dịch vốn với cổ đông không kiểm soát của công ty con nhưng không làm mất quyền kiểm soát,-,(14.629.154.365),,-14629154365.0
Cổ tức đã công bố,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Cổ tức đã công bố,Cổ tức đã công bố,(83.893.338.221),(22.565.699.000),-83893338221.0,-22565699000.0
Số cuối năm,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Số cuối năm,Số cuối năm,4.598.222.320.688,1.117.354.270.168,4598222320688.0,1117354270168.0
Trong đó:Cổ tức đã thực trả bằng tiền,Chỉ tiết tinh hình tăng giảm lợi ích của cổ đông không kiểm soát: > Trong đó:Cổ tức đã thực trả bằng tiền,Trong đó:Cổ tức đã thực trả bằng tiền,9.747.038.263,20.604.661.300,9747038263.0,20604661300.0
