row_label_raw,row_label_full,col_0,Lợi thể thương mại phát sinh từ khoản đầu tư vào 6D,Lợi thể thương mại phát sinh từ khoản đầu tư vào Southgate,VND Tổng cộng,numeric__Lợi thể thương mại phát sinh từ khoản đầu tư vào 6D,numeric__Lợi thể thương mại phát sinh từ khoản đầu tư vào Southgate,numeric__VND Tổng cộng
Giá gốc:,Giá gốc:,Giá gốc:,Giá gốc:,Giá gốc:,Giá gốc:,,,
Số đầu năm,Giá gốc: > Số đầu năm,Số đầu năm,7.601.818.460,-,7.601.818.460,7601818460.0,,7601818460.0
Tăng trong năm (TM số 4.2),Giá gốc: > Tăng trong năm (TM số 4.2),Tăng trong năm (TM số 4.2),-,9.408.936.083,9.408.936.083,,9408936083.0,9408936083.0
Số cuối năm,Giá gốc: > Số cuối năm,Số cuối năm,7.601.818.460,9.408.936.083,17.010.754.543,7601818460.0,9408936083.0,17010754543.0
Giá trị phân bổ:,Giá trị phân bổ:,Giá trị phân bổ:,Giá trị phân bổ:,Giá trị phân bổ:,Giá trị phân bổ:,,,
Số đầu năm,Giá trị phân bổ: > Số đầu năm,Số đầu năm,(2.280.545.550),-,(2.280.545.550),-2280545550.0,,-2280545550.0
Phân bổ trong năm,Giá trị phân bổ: > Phân bổ trong năm,Phân bổ trong năm,(1.520.363.700),(723.764.314),(2.244.128.014),-1520363700.0,-723764314.0,-2244128014.0
Số cuối năm,Giá trị phân bổ: > Số cuối năm,Số cuối năm,(3.800.909.250),(723.764.314),(4.524.673.564),-3800909250.0,-723764314.0,-4524673564.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,5.321.272.910,-,5.321.272.910,5321272910.0,,5321272910.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,3.800.909.210,8.685.171.769,12.486.080.979,3800909210.0,8685171769.0,12486080979.0
