row_label_raw,row_label_full,col_0,Quyềnsử dụng đất,"Nhà cửa,vật kiến trúc",VNDTổng cộng,numeric__Quyềnsử dụng đất,"numeric__Nhà cửa,vật kiến trúc",numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,25.019.644.770,266.701.652.235,291.721.297.005,25019644770.0,266701652235.0,291721297005.0
Chuyển từ hàng tồn kho,Nguyên giá: > Chuyển từ hàng tồn kho,Chuyển từ hàng tồn kho,-,90.571.940.362,90.571.940.362,,90571940362.0,90571940362.0
Xây dựng cơ bản hoàn thành,Nguyên giá: > Xây dựng cơ bản hoàn thành,Xây dựng cơ bản hoàn thành,-,20.127.718.333,20.127.718.333,,20127718333.0,20127718333.0
Mua mới,Nguyên giá: > Mua mới,Mua mới,-,2.511.341.787,2.511.341.787,,2511341787.0,2511341787.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,25.019.644.770,379.912.652.717,404.932.297.487,25019644770.0,379912652717.0,404932297487.0
Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,Giá trị khấu hao và hao mòn lũy kế:,,,
Số đầu năm,Giá trị khấu hao và hao mòn lũy kế: > Số đầu năm,Số đầu năm,(8.601.811.622),(23.341.291.348),(31.943.102.970),-8601811622.0,-23341291348.0,-31943102970.0
Tăng trong năm,Giá trị khấu hao và hao mòn lũy kế: > Tăng trong năm,Tăng trong năm,(675.539.680),(13.080.553.832),(13.756.093.512),-675539680.0,-13080553832.0,-13756093512.0
Số cuối năm,Giá trị khấu hao và hao mòn lũy kế: > Số cuối năm,Số cuối năm,(9.277.351.302),(36.421.845.180),(45.699.196.482),-9277351302.0,-36421845180.0,-45699196482.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,16.417.833.148,243.360.360.887,259.778.194.035,16417833148.0,243360360887.0,259778194035.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,15.742.293.468,343.490.807.537,359.233.101.005,15742293468.0,343490807537.0,359233101005.0
