row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dưvốn cổ phần,Cổ phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dưvốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,2.597.025.750.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,1.839.301.254.305,5.054.827.122.834,2597025750000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,1839301254305.0,5054827122834.0
Cổ tức bằng cổ phiếu,Năm trước > Cổ tức bằng cổ phiếu,Cổ tức bằng cổ phiếu,238.937.160.000,-,-,-,-,(238.937.160.000),-,238937160000.0,,,,,-238937160000.0,
Phát hành cổ phiếu theoChương trình lựa chọncho cán bộ quản lý cấp caocủa Công ty,Năm trước > Phát hành cổ phiếu theoChương trình lựa chọncho cán bộ quản lý cấp caocủa Công ty,Phát hành cổ phiếu theoChương trình lựa chọncho cán bộ quản lý cấp caocủa Công ty,16.743.690.000,-,-,-,-,-,16.743.690.000,16743690000.0,,,,,,16743690000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,834.865.877.302,834.865.877.302,,,,,,834865877302.0,834865877302.0
Cổ tức bằng tiền công bố,Năm trước > Cổ tức bằng tiền công bố,Cổ tức bằng tiền công bố,-,-,-,-,-,(241.429.262.808),(241.429.262.808),,,,,,-241429262808.0,-241429262808.0
"Trích quỹ khen thưởng,phúc lợi","Năm trước > Trích quỹ khen thưởng,phúc lợi","Trích quỹ khen thưởng,phúc lợi",-,-,-,-,-,(53.716.762.319),(53.716.762.319),,,,,,-53716762319.0,-53716762319.0
Thù lao Hội Đồng Quản TrịGiao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mắtquyền kiểm soát,Năm trước > Thù lao Hội Đồng Quản TrịGiao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mắtquyền kiểm soát,Thù lao Hội Đồng Quản TrịGiao dịch vốn với cổ đôngkhông kiểm soát của công tycon nhưng không làm mắtquyền kiểm soát,-,-,-,-,-,(9.610.000.000),(9.610.000.000),,,,,,-9610000000.0,-9610000000.0
,,,-,-,-,-,-,1.302.804.365,1.302.804.365,,,,,,1302804365.0,1302804365.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,2.852.706.600.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,2.131.776.750.845,5.602.983.469.374,2852706600000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,2131776750845.0,5602983469374.0
