row_label_raw,row_label_full,Bàng cản đối kế toán hợp nhất,Bàng cản đối kế toán hợp nhất_1,Báo cáo kết quả hoạt động kinh doanh hợp nhất,Báo cáo kết quả hoạt động kinh doanh hợp nhất_1,numeric__Bàng cản đối kế toán hợp nhất_1,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất,numeric__Báo cáo kết quả hoạt động kinh doanh hợp nhất_1
Số cuối năm,Số cuối năm,Số cuối năm,Số đầu năm,Năm nay,Năm trước,,,
121.113.245.717,Số cuối năm > 121.113.245.717,121.113.245.717,107.073.566.777,13.716.348.540,(35.446.008.661),107073566777.0,13716348540.0,-35446008661.0
91.291.155.635,Số cuối năm > 91.291.155.635,91.291.155.635,20.522.418.905,65.984.891.092,(11.068.817.333),20522418905.0,65984891092.0,-11068817333.0
-,Số cuối năm > -,-,87.766.121.320,-,-,87766121320.0,,
3.662.221.071,Số cuối năm > 3.662.221.071,3.662.221.071,8.432.366.404,(4.770.145.333),5.755.049.185,8432366404.0,-4770145333.0,5755049185.0
216.066.622.423,Số cuối năm > 216.066.622.423,216.066.622.423,223.794.473.406,,,223794473406.0,,
(966.084.955.101),Số cuối năm > (966.084.955.101),(966.084.955.101),(12.180.096.634),-,-,-12180096634.0,,
(51.234.516.626),Số cuối năm > (51.234.516.626),(51.234.516.626),(25.301.702.533),(25.932.814.093),(13.346.909.040),-25301702533.0,-25932814093.0,-13346909040.0
(4.920.000.000),Số cuối năm > (4.920.000.000),(4.920.000.000),-,(4.920.000.000),-,,-4920000000.0,
(1.022.239.471.727),Số cuối năm > (1.022.239.471.727),(1.022.239.471.727),(37.481.799.167),,,-37481799167.0,,
