row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Có phiếu quỹ,Quỹ đầu tưphát triển,Quỹ khác thuộcvốn chủ sở hữu,Lợi nhuận sau thuếchưa phân phối,VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Có phiếu quỹ,numeric__Quỹ đầu tưphát triển,numeric__Quỹ khác thuộcvốn chủ sở hữu,numeric__Lợi nhuận sau thuếchưa phân phối,numeric__VNDTổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,2.852.706.600.000,988.508.364.367,(382.934.347.400),10.709.490.423,2.216.611.139,2.131.776.750.845,5.602.983.469.374,2852706600000.0,988508364367.0,-382934347400.0,10709490423.0,2216611139.0,2131776750845.0,5602983469374.0
Tái phát hành cổ phiếu quỹ (i),Năm nay > Tái phát hành cổ phiếu quỹ (i),Tái phát hành cổ phiếu quỹ (i),,259.410.911.392,382.934.347.400,,,,642.345.258.792,,259410911392.0,382934347400.0,,,,642345258792.0
Phát hành cổ phiếu (ii),Năm nay > Phát hành cổ phiếu (ii),Phát hành cổ phiếu (ii),600.000.000.000,1.395.104.031.000,,,,,1.995.104.031.000,600000000000.0,1395104031000.0,,,,,1995104031000.0
Cổ tức bằng cổ phiếu (iii),Năm nay > Cổ tức bằng cổ phiếu (iii),Cổ tức bằng cổ phiếu (iii),124.777.110.000,,,,,(124.777.110.000),,124777110000.0,,,,,-124777110000.0,
Phát hành cổ phiếuthường (iii),Năm nay > Phát hành cổ phiếuthường (iii),Phát hành cổ phiếuthường (iii),239.039.900.000,,,,,(239.039.900.000),,239039900000.0,,,,,-239039900000.0,
Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củacông ty (iii),Năm nay > Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củacông ty (iii),Phát hành cổ phiếu theoChương trình lựa chọn chocán bộ quản lý cấp cao củacông ty (iii),12.876.520.000,,,,,,12.876.520.000,12876520000.0,,,,,,12876520000.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,1.070.826.325.922,1.070.826.325.922,,,,,,1070826325922.0,1070826325922.0
Cổ tức bằng tiền công bố (iv),Năm nay > Cổ tức bằng tiền công bố (iv),Cổ tức bằng tiền công bố (iv),,,,,,(338.671.087.620),(338.671.087.620),,,,,,-338671087620.0,-338671087620.0
Thủ lao Hội Đồng Quản Trị (v),Năm nay > Thủ lao Hội Đồng Quản Trị (v),Thủ lao Hội Đồng Quản Trị (v),,,,,,(8.350.000.000),(8.350.000.000),,,,,,-8350000000.0,-8350000000.0
"Trích quỹ khen thưởng,phúc lợi (v)","Năm nay > Trích quỹ khen thưởng,phúc lợi (v)","Trích quỹ khen thưởng,phúc lợi (v)",,,,,,(47.671.338.327),(47.671.338.327),,,,,,-47671338327.0,-47671338327.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.829.400.130.000,2.643.023.306.759,,10.709.490.423,2.216.611.139,2.444.093.640.820,8.929.443.179.141,3829400130000.0,2643023306759.0,,10709490423.0,2216611139.0,2444093640820.0,8929443179141.0
