row_label_raw,row_label_full,col_0,Năm nay,VNDNăm trước,numeric__Năm nay,numeric__VNDNăm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,440.723.675.532,30.304.785.282,440723675532.0,30304785282.0
Lãi từ giao dịch mua giả rẻ (TM số 4.1),Lãi từ giao dịch mua giả rẻ (TM số 4.1),Lãi từ giao dịch mua giả rẻ (TM số 4.1),423.211.539.164,-,423211539164.0,
Hoàn nhập dự phòng bảo hành công trình,Hoàn nhập dự phòng bảo hành công trình,Hoàn nhập dự phòng bảo hành công trình,8.268.683.988,18.431.497.955,8268683988.0,18431497955.0
Phạt vị phạm hợp đồng,Phạt vị phạm hợp đồng,Phạt vị phạm hợp đồng,6.898.153.008,4.871.359.566,6898153008.0,4871359566.0
Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,Thu nhập từ thanh lý tài sản,95.887.902,-,95887902.0,
Khác,Khác,Khác,2.249.411.470,7.001.927.761,2249411470.0,7001927761.0
Chi phí khác,Chi phí khác,Chi phí khác,5.731.785.127,17.598.678.897,5731785127.0,17598678897.0
Tiền phạt,Tiền phạt,Tiền phạt,4.555.902.314,6.417.947.092,4555902314.0,6417947092.0
Khác,Khác,Khác,1.175.882.813,11.180.731.805,1175882813.0,11180731805.0
LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,LỢI NHUẬN KHÁC,434.991.890.405,12.706.106.385,434991890405.0,12706106385.0
