row_label_raw,row_label_full,Lãi từ giá trị hợp lý tăng thêm của khoản đầu tư vào công ty liên kết tại ngày nhận thêm quyền biểu quyết để đạt được quyền kiểm soát (TM số 4.2),Năm nay > 400.033.309.849,VNDNăm trước > -,numeric__Năm nay > 400.033.309.849,numeric__VNDNăm trước > -
Lãi tiền gửi ngân hàng và lãi cho vay,Lãi tiền gửi ngân hàng và lãi cho vay,Lãi tiền gửi ngân hàng và lãi cho vay,43.979.172.566,57.542.148.500,43979172566.0,57542148500.0
Lãi từ thanh lý khoản đầu tư,Lãi từ thanh lý khoản đầu tư,Lãi từ thanh lý khoản đầu tư,-,636.281.433.491,,636281433491.0
Lãi được chia tử HĐHTKD,Lãi được chia tử HĐHTKD,Lãi được chia tử HĐHTKD,-,32.886.552.281,,32886552281.0
Khác,Khác,Khác,848.137.419,-,848137419.0,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,444.860.619.834,726.710.134.272,444860619834.0,726710134272.0
