row_label_raw,row_label_full,Giá trị đầu tư: > Số đầu năm > Tăng giá trị đầu tư,Công ty TNHH Anabuki NL Housing Service Việt Nam > Giá trị đầu tư: > 834.000.000 > -,NNH Mizuki > Giá trị đầu tư: > 750.000.000.000 > -,Southgate > Giá trị đầu tư: > 916.500.000.000 > 58.500.000.000,Đồng Nai Waterfront > Giá trị đầu tư: > 1.460.943.601.343 > -,Tổng cộng > Giá trị đầu tư: > 3.128.277.601.343 > 58.500.000.000,numeric__Công ty TNHH Anabuki NL Housing Service Việt Nam > Giá trị đầu tư: > 834.000.000 > -,numeric__NNH Mizuki > Giá trị đầu tư: > 750.000.000.000 > -,numeric__Southgate > Giá trị đầu tư: > 916.500.000.000 > 58.500.000.000,numeric__Đồng Nai Waterfront > Giá trị đầu tư: > 1.460.943.601.343 > -,numeric__Tổng cộng > Giá trị đầu tư: > 3.128.277.601.343 > 58.500.000.000
Chuyển thành công ty con (TM số 4.1 và 4.2),Chuyển thành công ty con (TM số 4.1 và 4.2),Chuyển thành công ty con (TM số 4.1 và 4.2),-,-,(975.000.000.000),(1.460.943.601.343),(2.435.943.601.343),,,-975000000000.0,-1460943601343.0,-2435943601343.0
Số cuối năm,Số cuối năm,Số cuối năm,834.000.000,750.000.000.000,-,-,750.834.000.000,834000000.0,750000000000.0,,,750834000000.0
Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,Phần lũy kế (lỗ) lợi nhuận sau khi mua:,,,,,
Số đầu năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số đầu năm,Số đầu năm,2.838.177.910,119.818.986.792,9.698.007.499,(748.849.242),131.606.322.959,2838177910.0,119818986792.0,9698007499.0,-748849242.0,131606322959.0
"Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Phần lãi (lỗ) từ công ty liên kết, liên doanh","Phần lãi (lỗ) từ công ty liên kết, liên doanh",1.964.278.791,(5.339.077.414),95.092.161.984,(657.003.723),91.060.359.638,1964278791.0,-5339077414.0,95092161984.0,-657003723.0,91060359638.0
Cổ tức cổ phiếu ưu đãi,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Cổ tức cổ phiếu ưu đãi,Cổ tức cổ phiếu ưu đãi,-,(66.010.958.904),(34.402.910.959),-,(100.413.869.863),,-66010958904.0,-34402910959.0,,-100413869863.0
Chuyển thành công ty con (TM số 4.1 và 4.2),Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Chuyển thành công ty con (TM số 4.1 và 4.2),Chuyển thành công ty con (TM số 4.1 và 4.2),-,-,(70.387.258.524),1.405.852.965,(68.981.405.559),,,-70387258524.0,1405852965.0,-68981405559.0
Số cuối năm,Phần lũy kế (lỗ) lợi nhuận sau khi mua: > Số cuối năm,Số cuối năm,4.802.456.701,48.468.950.474,-,-,53.271.407.175,4802456701.0,48468950474.0,,,53271407175.0
Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,Giá trị ghi sổ:,,,,,
Số đầu năm,Giá trị ghi sổ: > Số đầu năm,Số đầu năm,3.672.177.910,869.818.986.792,926.198.007.499,1.460.194.752.101,3.259.883.924.302,3672177910.0,869818986792.0,926198007499.0,1460194752101.0,3259883924302.0
Số cuối năm,Giá trị ghi sổ: > Số cuối năm,Số cuối năm,5.636.456.701,798.468.950.474,-,-,804.105.407.175,5636456701.0,798468950474.0,,,804105407175.0
