row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Bắt động sản dở dang (i),Bắt động sản dở dang (i),Bắt động sản dở dang (i),15.529.871.298.859,6.014.901.786.539,15529871298859.0,6014901786539.0
Dịch vụ quản lý dự án,Dịch vụ quản lý dự án,Dịch vụ quản lý dự án,23.413.613.771,50.313.408.059,23413613771.0,50313408059.0
"Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho","Nguyên liệu, vật liệu tồn kho",7.769.181.734,4.111.496.282,7769181734.0,4111496282.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,15.561.054.094.364,6.069.326.690.880,15561054094364.0,6069326690880.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,(71.184.905.000),-,-71184905000.0,
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,15.489.869.189.364,6.069.326.690.880,15489869189364.0,6069326690880.0
(i) Bắt động sản dở dang:,(i) Bắt động sản dở dang:,(i) Bắt động sản dở dang:,(i) Bắt động sản dở dang:,(i) Bắt động sản dở dang:,,
Dự án Izumi (*) (**),(i) Bắt động sản dở dang: > Dự án Izumi (*) (**),Dự án Izumi (*) (**),7.170.224.475.000,-,7170224475000.0,
Dự án Waterpoint Giai đoạn 1 (*) (**),(i) Bắt động sản dở dang: > Dự án Waterpoint Giai đoạn 1 (*) (**),Dự án Waterpoint Giai đoạn 1 (*) (**),3.629.482.420.949,-,3629482420949.0,
Dự án Paragon Đại Phước,(i) Bắt động sản dở dang: > Dự án Paragon Đại Phước,Dự án Paragon Đại Phước,1.713.692.073.551,1.706.464.606.674,1713692073551.0,1706464606674.0
Dự án Waterpoint Giai đoạn 2 (*),(i) Bắt động sản dở dang: > Dự án Waterpoint Giai đoạn 2 (*),Dự án Waterpoint Giai đoạn 2 (*),1.374.809.313.449,1.098.448.032.621,1374809313449.0,1098448032621.0
Dự án Hoàng Nam (Akari) (**),(i) Bắt động sản dở dang: > Dự án Hoàng Nam (Akari) (**),Dự án Hoàng Nam (Akari) (**),528.967.742.227,2.180.013.455.962,528967742227.0,2180013455962.0
Dự án Cần Thơ (**),(i) Bắt động sản dở dang: > Dự án Cần Thơ (**),Dự án Cần Thơ (**),344.521.155.892,296.471.888.867,344521155892.0,296471888867.0
Dự án Phú Hữu,(i) Bắt động sản dở dang: > Dự án Phú Hữu,Dự án Phú Hữu,218.013.323.242,205.761.804.480,218013323242.0,205761804480.0
Dự án Areco (Flora Novia) (**),(i) Bắt động sản dở dang: > Dự án Areco (Flora Novia) (**),Dự án Areco (Flora Novia) (**),125.989.180.775,145.665.095.290,125989180775.0,145665095290.0
Dự án Nguyên Sơn,(i) Bắt động sản dở dang: > Dự án Nguyên Sơn,Dự án Nguyên Sơn,111.425.245.042,102.567.829.816,111425245042.0,102567829816.0
Dự án Phước Long B - Mở rộng,(i) Bắt động sản dở dang: > Dự án Phước Long B - Mở rộng,Dự án Phước Long B - Mở rộng,93.144.184.937,87.412.779.357,93144184937.0,87412779357.0
Dự án VSIP Hải Phòng,(i) Bắt động sản dở dang: > Dự án VSIP Hải Phòng,Dự án VSIP Hải Phòng,68.945.164.391,60.985.564.431,68945164391.0,60985564431.0
Dự án Tân Thuận Đông (Dự án Ehome 5),(i) Bắt động sản dở dang: > Dự án Tân Thuận Đông (Dự án Ehome 5),Dự án Tân Thuận Đông (Dự án Ehome 5),53.301.438.888,50.065.386.849,53301438888.0,50065386849.0
Dự án Bình Dương (Dự án Ehome 4),(i) Bắt động sản dở dang: > Dự án Bình Dương (Dự án Ehome 4),Dự án Bình Dương (Dự án Ehome 4),12.960.800.537,25.943.899.351,12960800537.0,25943899351.0
Dự án Long An 36ha (*),(i) Bắt động sản dở dang: > Dự án Long An 36ha (*),Dự án Long An 36ha (*),7.935.042.868,3.926.066.133,7935042868.0,3926066133.0
Dự án Phú Đức,(i) Bắt động sản dở dang: > Dự án Phú Đức,Dự án Phú Đức,7.809.024.658,7.729.024.658,7809024658.0,7729024658.0
Khác,(i) Bắt động sản dở dang: > Khác,Khác,68.650.712.453,43.446.352.050,68650712453.0,43446352050.0
