row_label_raw,row_label_full,Thuế TNDN hiện hànhĐiều chỉnh thuế TNDN trích thiếu các năm trước,Năm nay > 205.660.274.875367.182.026,VNDNăm trước > 108.612.991.0941.792.062.392,numeric__Năm nay > 205.660.274.875367.182.026,numeric__VNDNăm trước > 108.612.991.0941.792.062.392
Chi phí thuế TNDN hiện hành(Thu nhập) chi phí thuế TNDN hoãn lại(TM số 35.3),Chi phí thuế TNDN hiện hành(Thu nhập) chi phí thuế TNDN hoãn lại(TM số 35.3),Chi phí thuế TNDN hiện hành(Thu nhập) chi phí thuế TNDN hoãn lại(TM số 35.3),206.027.456.901(44.078.280.206),110.405.053.48654.106.685.849,,1.1040505348654107e+22
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,161.949.176.695,164.511.739.335,161949176695.0,164511739335.0
