row_label_raw,row_label_full,Bên cho vay,Số cuối năm(VND),Kỳ hạn trả gốc,Kỳ hạn trả gốc_1,Lãi suất(%/năm),Hình thức bảo đảm,numeric__Số cuối năm(VND),numeric__Kỳ hạn trả gốc,numeric__Kỳ hạn trả gốc_1,numeric__Lãi suất(%/năm),numeric__Hình thức bảo đảm
Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,,,,,
Hợp đồng vay số 02/2018/SDC-SACOM/HĐVV,Công ty Cổ phần Dây và Cáp Sacom > Hợp đồng vay số 02/2018/SDC-SACOM/HĐVV,Hợp đồng vay số 02/2018/SDC-SACOM/HĐVV,25.000.000.000,Ngày 24 tháng 6 năm 2019,Ngày 24 tháng 6 năm 2019,6%,Tín chấp,25000000000.0,,,0.06,
Hợp đồng vay số 01/2018/SDC-SACOM/HĐVV,Công ty Cổ phần Dây và Cáp Sacom > Hợp đồng vay số 01/2018/SDC-SACOM/HĐVV,Hợp đồng vay số 01/2018/SDC-SACOM/HĐVV,8.500.000.000,Ngày 11 tháng 4 năm 2019,Ngày 11 tháng 4 năm 2019,6%,Tín chấp,8500000000.0,,,0.06,
,,,33.500.000.000,,,,,33500000000.0,,,,
Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,,,,,
Hợp đồng vay số 03/2018/SAM-SAMLAND/HĐVV,Công ty Cổ phần Địa ốc Sacom > Hợp đồng vay số 03/2018/SAM-SAMLAND/HĐVV,Hợp đồng vay số 03/2018/SAM-SAMLAND/HĐVV,5.000.000.000,Ngày 11 tháng 1 năm 2019,Ngày 11 tháng 1 năm 2019,"9,6%",Tín chấp,5000000000.0,,,0.096,
Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,Công ty Cổ phần Phú Hữu Gia,,,,,
Hợp đồng vay số 23/2018/HĐVV-SAM,Công ty Cổ phần Phú Hữu Gia > Hợp đồng vay số 23/2018/HĐVV-SAM,Hợp đồng vay số 23/2018/HĐVV-SAM,57.000.000.000,Ngày 19 tháng 10 năm 2019,Ngày 19 tháng 10 năm 2019,8%,Tín chấp,57000000000.0,,,0.08,
TỔNG CỘNG,Công ty Cổ phần Phú Hữu Gia > TỔNG CỘNG,TỔNG CỘNG,95.500.000.000,,,,,95500000000.0,,,,
15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,15.2 Trái phiếu,,,,,
Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,Chi tiết khoản trái phiếu đề bổ sung vốn lưu động được trình bày như sau:,,,,,
Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Tổ chức thu xếp phát hành,Số cuối năm(VND),Kỳ hạn,Lãi suất(%/năm),,Hình thức bảo đảm,,,,,
Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,Công ty Cổ phần Chứng khoán Agribank,,,,,
Phát hành ngày 9 tháng 7 năm 2018,Công ty Cổ phần Chứng khoán Agribank > Phát hành ngày 9 tháng 7 năm 2018,Phát hành ngày 9 tháng 7 năm 2018,100.000.000.000,1 năm,"9,9%",11.800.000 cổ phiếu phổ thông Tổng Công ty Dược Việt Nam - CTCP; và 6.227.805 cổ phiếu phổ thông Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,11.800.000 cổ phiếu phổ thông Tổng Công ty Dược Việt Nam - CTCP; và 6.227.805 cổ phiếu phổ thông Công ty Cổ phần Dịch vụ Du lịch Phú Thọ,100000000000.0,,0.099,,
