row_label_raw,row_label_full,Tên công ty con,Lĩnh vực kinh doanh,Số cuối năm,Số cuối năm_1,Số đầu năm,Số đầu năm_1,numeric__Lĩnh vực kinh doanh,numeric__Số cuối năm,numeric__Số cuối năm_1,numeric__Số đầu năm,numeric__Số đầu năm_1
Tên công ty con,Tên công ty con,Tên công ty con,Lĩnh vực kinh doanh,Tỷ lệ sở hữu (%),Giá gốc đầu tư VND,Tỷ lệ sở hữu (%),Giá gốc đầu tư VND,,,,,
Công ty Cổ phần Sacom - Tuyên Lâm,Tên công ty con > Công ty Cổ phần Sacom - Tuyên Lâm,Công ty Cổ phần Sacom - Tuyên Lâm,"Kinh doanh khu du lịch, sân golf","99,75%",897.300.000.000,"99,75%",897.300.000.000,,0.9975,897300000000.0,0.9975,897300000000.0
Công ty Cổ phần Dây và Cáp Sacom,Tên công ty con > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Sản xuất dây cấp,"99,92%",499.600.000.000,"99,90%",499.500.000.000,,0.9992,499600000000.0,0.9990000000000001,499500000000.0
Công ty Cổ phần Địa ốc Sacom (i),Tên công ty con > Công ty Cổ phần Địa ốc Sacom (i),Công ty Cổ phần Địa ốc Sacom (i),Kinh doanh bất động sản,"74,99%",301.988.892.000,"74,58%",300.000.000.000,,0.7498999999999999,301988892000.0,0.7458,300000000000.0
Công ty TNHH Sacom Chíp Sáng,Tên công ty con > Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Kinh doanh dịch vụ cho thuê văn phòng,"73,75%",118.000.000.000,"73,75%",118.000.000.000,,0.7375,118000000000.0,0.7375,118000000000.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (ii),Tên công ty con > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (ii),Công ty Cổ phần Sam Nông nghiệp Công nghệ cao (ii),"Trồng trọt, chăn nuôi, chế biến và kinh doanh nông sản","51,00%",51.000.000.000,-,-,,0.51,51000000000.0,,
TỔNG CỘNG,Tên công ty con > TỔNG CỘNG,TỔNG CỘNG,,,1.867.888.892.000,,1.814.800.000.000,,,1867888892000.0,,1814800000000.0
Dự phòng đầu tư tài chính dài hạn,Tên công ty con > Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,,,(150.353.003.338),,(125.648.413.547),,,-150353003338.0,,-125648413547.0
GIÁ TRỊ THUÀN,Tên công ty con > GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,,,1.717.535.888.662,,1.689.151.586.453,,,1717535888662.0,,1689151586453.0
