row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,17.665.549.624,950.000.000,18.615.549.624,17665549624.0,950000000.0,18615549624.0
Thanh lý,Nguyên giá: > Thanh lý,Thanh lý,(17.665.549.624),(950.000.000),(18.615.549.624),-17665549624.0,-950000000.0,-18615549624.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(5.159.232.228),(316.666.658),(5.475.898.886),-5159232228.0,-316666658.0,-5475898886.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(632.935.464),(79.166.664),(712.102.128),-632935464.0,-79166664.0,-712102128.0
Thanh lý,Giá trị khấu hao lũy kế: > Thanh lý,Thanh lý,5.792.167.692,395.833.322,6.188.001.014,5792167692.0,395833322.0,6188001014.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,12.506.317.396,633.333.342,13.139.650.738,12506317396.0,633333342.0,13139650738.0
Số cuối năm,Số cuối năm,Số cuối năm,-,-,-,,,
