row_label_raw,row_label_full,Khoản cho vay 1,6.500.000.000,"9,5%",Tín chấp,numeric__6.500.000.000,"numeric__9,5%",numeric__Tín chấp
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,,,
Khoản cho vay 2,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao > Khoản cho vay 2,Khoản cho vay 2,1.100.000.000,"11,5%",Tín chấp,1100000000.0,0.115,
TỔNG CỘNG,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao > TỔNG CỘNG,TỔNG CỘNG,7.600.000.000,,,7600000000.0,,
