row_label_raw,row_label_full,Bất động sản đầu tư cho thuê(Thuyết minh số 9.1),Số cuối năm > -,VND Số đầu năm > 13.139.650.738,numeric__Số cuối năm > -,numeric__VND Số đầu năm > 13.139.650.738
Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,Bất động sản đầu tư nằm giữ chờ tăng giá,-,11.211.821.819,,11211821819.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,-,24.351.472.557,,24351472557.0
