row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc",Máy mócvà thiết bị,Phương tiệnvận tải,Thiết bịvăn phòng,VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc",numeric__Máy mócvà thiết bị,numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm và số cuối năm,Nguyên giá: > Số đầu năm và số cuối năm,Số đầu năm và số cuối năm,11.906.769.352,134.290.000,2.654.682.718,1.369.142.480,16.064.884.550,11906769352.0,134290000.0,2654682718.0,1369142480.0,16064884550.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,11.906.769.352,-,2.654.682.718,1.369.142.480,15.930.594.550,11906769352.0,,2654682718.0,1369142480.0,15930594550.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.906.769.352),(35.277.323),(2.654.682.718),(1.369.142.480),(15.965.871.873),-11906769352.0,-35277323.0,-2654682718.0,-1369142480.0,-15965871873.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,-,(26.857.992),-,-,(26.857.992),,-26857992.0,,,-26857992.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.906.769.352),(62.135.315),(2.654.682.718),(1.369.142.480),(15.992.729.865),-11906769352.0,-62135315.0,-2654682718.0,-1369142480.0,-15992729865.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,-,99.012.677,-,-,99.012.677,,99012677.0,,,99012677.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,-,72.154.685,-,-,72.154.685,,72154685.0,,,72154685.0
