row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,,,,
Ông Phương Thành Long,Phải thu ngắn hạn khác > Ông Phương Thành Long,Ông Phương Thành Long,Phó Tổng Giám đốc,Góp vốn HĐHTĐT,19.150.000.000,-,,,19150000000.0,
Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Phải thu ngắn hạn khác > Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty Cổ phần Đầu tư và Phát triển Hạ tầng An Việt,Công ty liên kết,Lãi cho vay,1.257.298.609,631.222.222,,,1257298609.0,631222222.0
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu ngắn hạn khác > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Lãi cho vay,14.556.164,-,,,14556164.0,
Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Phải thu ngắn hạn khác > Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty Cổ phần Sam Nông nghiệp Công nghệ cao,Công ty con,Chi hộ,-,210.748.930,,,,210748930.0
Công ty Cổ phần Dây và Cáp Sacom,Phải thu ngắn hạn khác > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Cổ tức,-,24.975.000.000,,,,24975000000.0
Ông Trần Anh Vương,Phải thu ngắn hạn khác > Ông Trần Anh Vương,Ông Trần Anh Vương,Tổng Giám đốc,Tạm ứng,-,2.427.811.059,,,,2427811059.0
Công ty TNHH Sacom Chíp Sáng,Phải thu ngắn hạn khác > Công ty TNHH Sacom Chíp Sáng,Công ty TNHH Sacom Chíp Sáng,Công ty con,Lãi cho vay,-,117.478.888,,,,117478888.0
,,,,,20.421.854.773,28.362.261.099,,,20421854773.0,28362261099.0
Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,Phải thu dài hạn khác,,,,
Ông Trần Việt Anh,Phải thu dài hạn khác > Ông Trần Việt Anh,Ông Trần Việt Anh,Tổng Giám đốc,Góp vốn HĐHTĐT,1.000.000.000,-,,,1000000000.0,
Công ty Cổ phần Địa ốc Sacom,Phải thu dài hạn khác > Công ty Cổ phần Địa ốc Sacom,Công ty Cổ phần Địa ốc Sacom,Công ty con,Góp vốn HĐHTĐT,-,50.000.000.000,,,,50000000000.0
,,,,,1.000.000.000,50.000.000.000,,,1000000000.0,50000000000.0
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Dây và Cáp Sacom,Phải trả người bán ngắn hạn > Công ty Cổ phần Dây và Cáp Sacom,Công ty Cổ phần Dây và Cáp Sacom,Công ty con,Mua thành phẩm,-,10.241.337.600,,,,10241337600.0
