row_label_raw,row_label_full,Đầu tư vào công ty con (Thuyết minh số 10.1) > Đầu tư vào công ty liên kết(Thuyết minh số 10.2) > Đầu tư góp vốn vào đơn vị khác(Thuyết minh số 10.3),Số cuối năm > 1.867.888.892.000 > 696.200.970.000 > 415.400.000.000,VND Số đầu năm > 1.814.800.000.000 > 617.442.966.000 > 16.500.000.000,numeric__Số cuối năm > 1.867.888.892.000 > 696.200.970.000 > 415.400.000.000,numeric__VND Số đầu năm > 1.814.800.000.000 > 617.442.966.000 > 16.500.000.000
Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,Dự phòng đầu tư tài chính dài hạn,(173.963.327.828),(144.683.592.713),-173963327828.0,-144683592713.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.805.526.534.172,2.304.059.373.287,2805526534172.0,2304059373287.0
