row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,
Số dư đầu năm,Năm trước > Số dư đầu năm,Số dư đầu năm,1.802.353.360.000,406.943.449.943,150.829.313.956,82.006.037.785,2.442.132.161.684,1802353360000.0,406943449943.0,150829313956.0,82006037785.0,2442132161684.0
Tăng vốn cổ phần,Năm trước > Tăng vốn cổ phần,Tăng vốn cổ phần,615.503.670.000,(406.943.449.943),(150.686.343.956),(57.873.876.101),-,615503670000.0,-406943449943.0,-150686343956.0,-57873876101.0,
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,29.981.967.835,29.981.967.835,,,,29981967835.0,29981967835.0
"Trích quỹ khen thưởng, phúc lợi","Năm trước > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(746.440.000),(746.440.000),,,,-746440000.0,-746440000.0
Số dư cuối năm,Năm trước > Số dư cuối năm,Số dư cuối năm,2.417.857.030.000,-,142.970.000,53.367.689.519,2.471.367.689.519,2417857030000.0,,142970000.0,53367689519.0,2471367689519.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,
Số dư đầu năm,Năm nay > Số dư đầu năm,Số dư đầu năm,2.417.857.030.000,-,142.970.000,53.367.689.519,2.471.367.689.519,2417857030000.0,,142970000.0,53367689519.0,2471367689519.0
Cổ tức bằng cổ phiếu (*),Năm nay > Cổ tức bằng cổ phiếu (*),Cổ tức bằng cổ phiếu (*),72.505.600.000,-,-,(72.505.600.000),-,72505600000.0,,,-72505600000.0,
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,53.334.231.467,53.334.231.467,,,,53334231467.0,53334231467.0
"Trích quỹ khen thưởng, phúc lợi","Năm nay > Trích quỹ khen thưởng, phúc lợi","Trích quỹ khen thưởng, phúc lợi",-,-,-,(2.186.814.958),(2.186.814.958),,,,-2186814958.0,-2186814958.0
Số dư cuối năm,Năm nay > Số dư cuối năm,Số dư cuối năm,2.490.362.630.000,-,142.970.000,32.009.506.028,2.522.515.106.028,2490362630000.0,,142970000.0,32009506028.0,2522515106028.0
