row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD,Số cuối năm (VND) > 585.871.557.020 > 1.119.468.629.313,"Ký hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ","Lãi suất năm > 4,2% - 5,6% > 1,5% - 2,7%",numeric__Số cuối năm (VND) > 585.871.557.020 > 1.119.468.629.313,"numeric__Ký hạn trả gốc và lãi > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng. > Thời hạn vay theo từng khế ước nhận nợ, tối đa 6 tháng. Lãi vay trả vào ngày 20 đến 28 hàng tháng hoặc trả vào cuối kỳ","numeric__Lãi suất năm > 4,2% - 5,6% > 1,5% - 2,7%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.705.340.186.333,,,1705340186333.0,,
Trong đó:Vay có tài sản đảm bảoVay tin chấp,Trong đó:Vay có tài sản đảm bảoVay tin chấp,Trong đó:Vay có tài sản đảm bảoVay tin chấp,1.705.340.186.333,,,1705340186333.0,,
