row_label_raw,row_label_full,Ông Phạm Ảnh Dương,Chủ tịch,numeric__Chủ tịch
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Thành viên,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Thành viên,
Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Bà Hòa Thị Thu Hà,Thành viên,
Ông Đình Xuân Cường,Ông Đình Xuân Cường,Ông Đình Xuân Cường,Thành viên,
