row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị,Số cuối năm > Số có khả năng trả nợ,Số đầu năm > Giá trị,Số đầu năm > Số có khả năng trả nợ,numeric__Số cuối năm > Giá trị,numeric__Số cuối năm > Số có khả năng trả nợ,numeric__Số đầu năm > Giá trị,numeric__Số đầu năm > Số có khả năng trả nợ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải trả người bán,Ngắn hạn > Phải trả người bán,Phải trả người bán,399.504.634.070,399.504.634.070,495.460.772.615,495.460.772.615,399504634070.0,399504634070.0,495460772615.0,495460772615.0
Đối tác doanh nghiệp 4,Ngắn hạn > Đối tác doanh nghiệp 4,Đối tác doanh nghiệp 4,110.290.122.848,110.290.122.848,175.376.050.090,175.376.050.090,110290122848.0,110290122848.0,175376050090.0,175376050090.0
Đối tác doanh nghiệp 5,Ngắn hạn > Đối tác doanh nghiệp 5,Đối tác doanh nghiệp 5,93.361.094.382,93.361.094.382,62.985.181.781,62.985.181.781,93361094382.0,93361094382.0,62985181781.0,62985181781.0
Đối tác doanh nghiệp 6,Ngắn hạn > Đối tác doanh nghiệp 6,Đối tác doanh nghiệp 6,40.298.804.932,40.298.804.932,66.354.855.891,66.354.855.891,40298804932.0,40298804932.0,66354855891.0,66354855891.0
Khác,Ngắn hạn > Khác,Khác,155.554.611.908,155.554.611.908,190.744.684.853,190.744.684.853,155554611908.0,155554611908.0,190744684853.0,190744684853.0
Phải trả cho các bên liên quan (Thuyết minh số 29),Ngắn hạn > Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),15.597.858.768,15.597.858.768,7.674.998.573,7.674.998.573,15597858768.0,15597858768.0,7674998573.0,7674998573.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,415.102.492.838,415.102.492.838,503.135.771.188,503.135.771.188,415102492838.0,415102492838.0,503135771188.0,503135771188.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,,,
Phải trả cho bên khác,Dải hạn > Phải trả cho bên khác,Phải trả cho bên khác,14.893.277.977,14.893.277.977,-,-,14893277977.0,14893277977.0,,
Phải trả cho các bên liên quan (Thuyết minh số 29),Dải hạn > Phải trả cho các bên liên quan (Thuyết minh số 29),Phải trả cho các bên liên quan (Thuyết minh số 29),22.792.936.812,22.792.936.812,-,-,22792936812.0,22792936812.0,,
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,37.686.214.789,37.686.214.789,-,-,37686214789.0,37686214789.0,,
