row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND > Các khoản vay ngân hàng bằng USD,Số cuối năm (VND) > 247.302.014.616 > 7.610.805.600,Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối từ tháng 9 năm 2025. Lãi vay trả hàng tháng. > Gốc vay được trả lần cuối gần nhất vào tháng 12 năm 2021. Lãi vay trả hàng tháng.,"Lãi suất năm > 8% - 10,5% > 5,5%",numeric__Số cuối năm (VND) > 247.302.014.616 > 7.610.805.600,numeric__Kỳ hạn trả gốc và lãi > Gốc vay được trả lần cuối từ tháng 9 năm 2025. Lãi vay trả hàng tháng. > Gốc vay được trả lần cuối gần nhất vào tháng 12 năm 2021. Lãi vay trả hàng tháng.,"numeric__Lãi suất năm > 8% - 10,5% > 5,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,254.912.820.216,,,254912820216.0,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay có tài sản đảm bảo,Trong đó: > Vay có tài sản đảm bảo,Vay có tài sản đảm bảo,254.912.820.216,,,254912820216.0,,
Vay tín chấp,Vay tín chấp,Vay tín chấp,-,,,,,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,30.329.985.471,,,30329985471.0,,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,224.582.834.745,,,224582834745.0,,
