row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị","Phương tiệnvận tải, truyền dẫn",Thiết bịvăn phòng,"Cây lâu năm, sùcvật làm việc vàcho sản phẩm",Tài sản cố địnhhửu hình khác,Tổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị","numeric__Phương tiệnvận tải, truyền dẫn",numeric__Thiết bịvăn phòng,"numeric__Cây lâu năm, sùcvật làm việc vàcho sản phẩm",numeric__Tài sản cố địnhhửu hình khác,numeric__Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,,
"Số đầu năm- Mua trong năm- Thanh lý, nhượng bán","Nguyên giá: > Số đầu năm- Mua trong năm- Thanh lý, nhượng bán","Số đầu năm- Mua trong năm- Thanh lý, nhượng bán",558.484.692.255,1.642.083.684.52314.616.388.315,176.796.767.3252.694.153.637(11.553.552.247),6.039.801.7341.359.796.000,13.615.020.000,24.559.146.246,2.421.579.112.08318.670.337.952(11.553.552.247),558484692255.0,1.6420836845231463e+23,,6.039801734135979e+19,13615020000.0,24559146246.0,
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,558.484.692.255,1.656.700.072.838,167.937.368.715,7.399.597.734,13.615.020.000,24.559.146.246,2.428.695.897.788,558484692255.0,1656700072838.0,167937368715.0,7399597734.0,13615020000.0,24559146246.0,2428695897788.0
Trong đó:Dã khấu hao hết,Nguyên giá: > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,7.221.691.070,177.323.393.496,19.381.370.455,304.350.659,865.970.000,1.440.454.545,206.537.230.225,7221691070.0,177323393496.0,19381370455.0,304350659.0,865970000.0,1440454545.0,206537230225.0
Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,Giả trị khấu hao lũy kế:,,,,,,,
"Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Giả trị khấu hao lũy kế: > Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán","Số đầu năm- Khấu hao trong năm- Thanh lý, nhượng bán",111.138.836.36327.489.643.957,643.453.863.051143.142.947.205,76.047.540.07819.328.715.488(8.395.377.388),2.863.713.7001.049.666.214,6.581.064.568664.129.779,10.977.287.8022.454.241.116,851.062.305.562194.129.343.759(8.395.377.388),1.1113883636327489e+22,6.434538630511431e+23,,2.8637137001049666e+19,6.58106456866413e+18,1.0977287802245425e+20,
Số cuối năm,Giả trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,138.628.480.320,786.596.810.256,86.980.878.178,3.913.379.914,7.245.194.347,13.431.528.918,1.036.796.271.933,138628480320.0,786596810256.0,86980878178.0,3913379914.0,7245194347.0,13431528918.0,1036796271933.0
Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,,,,,,,
Số đầu năm,Giả trị còn lại: > Số đầu năm,Số đầu năm,447.345.855.892,998.629.821.472,100.749.227.247,3.176.088.034,7.033.955.432,13.581.858.444,1.570.516.806.521,447345855892.0,998629821472.0,100749227247.0,3176088034.0,7033955432.0,13581858444.0,1570516806521.0
Số cuối năm,Giả trị còn lại: > Số cuối năm,Số cuối năm,419.856.211.935,870.103.262.582,80.956.490.537,3.486.217.820,6.369.825.653,11.127.617.328,1.391.899.625.855,419856211935.0,870103262582.0,80956490537.0,3486217820.0,6369825653.0,11127617328.0,1391899625855.0
