row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Môi quan hệ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn của khách hàng (Thuyết minh số 6.1)
Công ty An Thành,Công ty An Thành,Công ty An Thành,Công ty con,Bản hàng hóa,151.053.301.088,331.620.591.386,,,151053301088.0,331620591386.0
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn (kể từ ngày 31 tháng 12 năm 2020),Bản hàng hóa,41.430.372.941,-,,,41430372941.0,
Công ty An Vinh,Công ty An Vinh,Công ty An Vinh,Công ty con (kể từ ngày 15 tháng 7 năm 2020),Bản hàng hóa,25.979.674.225,-,,,25979674225.0,
Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty An Thành Singapore,Công ty con,Bản hàng hóa,25.149.164.739,32.573.619.515,,,25149164739.0,32573619515.0
An Phát International Inc,An Phát International Inc,An Phát International Inc,Công ty cùng lãnh đạo chủ chốt,Bản hàng hóa,7.272.739.196,-,,,7272739196.0,
Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty me,Dịch vụ cho thuê xe,1.414.225.988,357.000.000,,,1414225988.0,357000000.0
Công ty Sunrise,Công ty Sunrise,Công ty Sunrise,Công ty liên kết,Bản hàng hóa và cho thuê kho,279.740.492,575.278.326,,,279740492.0,575278326.0
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Dịch vụ cho thuê xe,82.237.910,25.238.310.000,,,82237910.0,25238310000.0
Công ty An Tiến,Công ty An Tiến,Công ty An Tiến,Công ty con,Bản hàng hóa,-,1.125.062.046,,,,1125062046.0
Công ty TNHH lĩnh kiện nhựa ô tô Vinfast An Phát,Công ty TNHH lĩnh kiện nhựa ô tô Vinfast An Phát,Công ty TNHH lĩnh kiện nhựa ô tô Vinfast An Phát,Công ty cùng Tập đoàn,Dịch vụ cho thuê xe,-,6.662.561,,,,6662561.0
,,,,,252.661.456.579,391.496.523.834,,,252661456579.0,391496523834.0
