row_label_raw,row_label_full,col_0,Thuyết minh,Số đầu năm > Giế trị,Số đầu năm > Số có khá năng trả nợ,Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Chếnh lệch tỷ giá,Số cuối năm > Giế trị,Số cuối năm > Số có khá năng trả nợ,numeric__Thuyết minh,numeric__Số đầu năm > Giế trị,numeric__Số đầu năm > Số có khá năng trả nợ,numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Chếnh lệch tỷ giá,numeric__Số cuối năm > Giế trị,numeric__Số cuối năm > Số có khá năng trả nợ
Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,Vay ngân hạn,,,,,,,,
Vay ngân hàng,Vay ngân hạn > Vay ngân hàng,Vay ngân hàng,19.1,1.849.196.389.367,1.849.196.389.367,4.015.358.368.806,(4.159.696.673.260),482.101.420,1.705.340.186.333,1.705.340.186.333,191.0,1849196389367.0,1849196389367.0,4015358368806.0,-4159696673260.0,482101420.0,1705340186333.0,1705340186333.0
Vay dài hạn đến hạn trả,Vay ngân hạn > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,19.2,,,30.329.985.471,,,30.329.985.471,30.329.985.471,192.0,,,30329985471.0,,,30329985471.0,30329985471.0
Vay bên liên quan,Vay ngân hạn > Vay bên liên quan,Vay bên liên quan,,,,10.000.000.000,(10.000.000.000),,,,,,,10000000000.0,-10000000000.0,,,
Vay bên khác,Vay ngân hạn > Vay bên khác,Vay bên khác,,,,21.460.142.000,(21.460.142.000),,,,,,,21460142000.0,-21460142000.0,,,
Trải phiếu phát hành đến hạn trả,Vay ngân hạn > Trải phiếu phát hành đến hạn trả,Trải phiếu phát hành đến hạn trả,19.5,,,446.128.863.627,,,446.128.863.627,446.128.863.627,195.0,,,446128863627.0,,,446128863627.0,446128863627.0
TỔNG CỘNG,Vay ngân hạn > TỔNG CỘNG,TỔNG CỘNG,,1.849.196.389.367,1.849.196.389.367,4.523.277.359.904,(4.191.156.815.260),482.101.420,2.181.799.035.431,2.181.799.035.431,,1849196389367.0,1849196389367.0,4523277359904.0,-4191156815260.0,482101420.0,2181799035431.0,2181799035431.0
Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,Vay dài hạn,,,,,,,,
Vay ngân hàng,Vay dài hạn > Vay ngân hàng,Vay ngân hàng,19.2,365.746.405.147,365.746.405.147,9.702.593.779,(150.874.214.149),8.049.968,224.582.834.745,224.582.834.745,192.0,365746405147.0,365746405147.0,9702593779.0,-150874214149.0,8049968.0,224582834745.0,224582834745.0
Vay bên liên quan,Vay dài hạn > Vay bên liên quan,Vay bên liên quan,19.3,,,17.200.000.000,,,17.200.000.000,17.200.000.000,193.0,,,17200000000.0,,,17200000000.0,17200000000.0
Vay ca nhân,Vay dài hạn > Vay ca nhân,Vay ca nhân,19.4,,,16.200.000.000,,,16.200.000.000,16.200.000.000,194.0,,,16200000000.0,,,16200000000.0,16200000000.0
Trải phiếu phát hành,Vay dài hạn > Trải phiếu phát hành,Trải phiếu phát hành,19.5,491.453.499.995,491.453.499.995,4.675.363.632,(496.128.863.627),,,,195.0,491453499995.0,491453499995.0,4675363632.0,-496128863627.0,,,
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,857.199.905.142,857.199.905.142,47.777.957.411,(647.003.077.776),8.049.968,257.982.834.745,257.982.834.745,,857199905142.0,857199905142.0,47777957411.0,-647003077776.0,8049968.0,257982834745.0,257982834745.0
TỔNG CỘNG,Vay dài hạn > TỔNG CỘNG,TỔNG CỘNG,,2.706.396.294.509,2.706.396.294.509,4.571.055.317.315,(4.838.159.893.036),490.151.388,2.439.781.870.176,2.439.781.870.176,,2706396294509.0,2706396294509.0,4571055317315.0,-4838159893036.0,490151388.0,2439781870176.0,2439781870176.0
