row_label_raw,row_label_full,Bên liên quan > Phải thu ngắn hạn khác (Thuyết minh số 8),Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Môi quan hệ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Nội dung nghiệp vụ > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số cuối năm > Phải thu ngắn hạn khác (Thuyết minh số 8),numeric__Đơn vị tính: VND > Số đầu năm > Phải thu ngắn hạn khác (Thuyết minh số 8)
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu về Hợp đồng hợp tác kinh doanh,400.000.000.000,-,,,400000000000.0,
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu lợi nhuận được chia từ Hợp đồng hợp tác kinh doanh,53.121.899.780,47.510.351.300,,,53121899780.0,47510351300.0
Công ty An Phát Complex,Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Lãi dự thu,5.294.850.137,-,,,5294850137.0,
An Phát International Inc,An Phát International Inc,An Phát International Inc,Công ty cùng lãnh đạo chủ chốt,Bặt cọc mua cổ phần,115.829.400.000,-,,,115829400000.0,
Công ty An Cường,Công ty An Cường,Công ty An Cường,Công ty cùng Tập đoàn (kể từ ngày 31 tháng 12 năm 2020),Lãi dự thu,3.997.802.860,-,,,3997802860.0,
Công ty An Trung,Công ty An Trung,Công ty An Trung,Công ty cùng Tập đoàn,Phải thu khác,-,12.849.375.000,,,,12849375000.0
Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Ông Phạm Ánh Dương,Chủ tịch HDQT,Phải thu từ chỉ trả hộ và tạm ứng,4.467.092.885,-,,,4467092885.0,
Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Ông Phạm Hoàng Việt,Phó chủ tịch HDQT,Phải thu từ chỉ trả hộ và tạm ứng,885.639.730,-,,,885639730.0,
Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Ông Nguyễn Lê Trung,Tổng Giám đốc,Phải thu từ chỉ trả hộ và tạm ứng,451.578.176,-,,,451578176.0,
Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Bà Nguyễn Thị Tiên,Thành viên chủ chốt,Phải thu từ chỉ trả hộ và tạm ứng,-,3.048.000.000,,,,3048000000.0
,,,,,584.048.263.568,63.407.726.300,,,584048263568.0,63407726300.0
Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),Phải thu dài hạn khác (Thuyết minh số 8),,,,
Công ty An Phát Complex,Phải thu dài hạn khác (Thuyết minh số 8) > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,Phải thu về Hợp đồng hợp tác kinh doanh,-,400.000.000.000,,,,400000000000.0
,,,,,-,400.000.000.000,,,,400000000000.0
