row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính; VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính; VND > Số đầu năm
Tiền mặt,Tiền mặt,Tiền mặt,593.190.456,10.026.251.923,593190456.0,10026251923.0
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,179.027.383.726,70.783.167.275,179027383726.0,70783167275.0
Các khoản tương đương tiền (*),Các khoản tương đương tiền (*),Các khoản tương đương tiền (*),436.902.765.634,5.000.000.000,436902765634.0,5000000000.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,616.523.339.816,85.809.419.198,616523339816.0,85809419198.0
