row_label_raw,row_label_full,Bà Nguyễn Thị Giang,Trường ban,numeric__Trường ban
Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Bà Nguyễn Thị Phương,Thành viên,
Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Bà Văn Thị Lan Anh,Thành viên,
