row_label_raw,row_label_full,Đơn vị tính: VND,Đơn vị tính: VND_1,Đơn vị tính: VND_2,Đơn vị tính: VND_3,Đơn vị tính: VND_4,Đơn vị tính: VND_5,Đơn vị tính: VND_6,Đơn vị tính: VND_7,Đơn vị tính: VND_8,Đơn vị tính: VND_9,Đơn vị tính: VND_10,col_11,col_12,numeric__Đơn vị tính: VND_1,numeric__Đơn vị tính: VND_2,numeric__Đơn vị tính: VND_3,numeric__Đơn vị tính: VND_4,numeric__Đơn vị tính: VND_5,numeric__Đơn vị tính: VND_6,numeric__Đơn vị tính: VND_7,numeric__Đơn vị tính: VND_8,numeric__Đơn vị tính: VND_9,numeric__Đơn vị tính: VND_10,numeric__col_11,numeric__col_12
Bên sìn guan,Bên sìn guan,Bên sìn guan,Mô quan hé,Đoàn thu bán hàng và cung cấp dịch vy,Mua hàng hód dịch vy,Đoàn thu đã chính,Cho way,Thu kém và cho way,B&I cpc,Lợi nhuận hợp đồng hợp tác đơn dịch,Nhân gásv vda,Trá cód risco,Chuyên muong pá plan,Chỉ nổ và tần ứng,,,,,,,,,,,,
Công ty An Thanh,Bên sìn guan > Công ty An Thanh,Công ty An Thanh,Công ty con,857.224.828.817,115.281.271.462,4.600.000.000,,,,,,,,,,857224828817.0,115281271462.0,4600000000.0,,,,,,,,
Công ty An Thanh Singapore,Bên sìn guan > Công ty An Thanh Singapore,Công ty An Thanh Singapore,Công ty con,80.989.330.483,,,,,,,,,,,,80989330483.0,,,,,,,,,,
Công ty An Vinh,Bên sìn guan > Công ty An Vinh,Công ty An Vinh,Công ty con (vill tv ngày 10 tháng 7 năm 2020),55.790.724.213,3.748.042.537,642.719.726,,,50.000.000.000,,,,,,,55790724213.0,3748042537.0,642719726.0,,,50000000000.0,,,,,
Công ty An Ték,Bên sìn guan > Công ty An Ték,Công ty An Ték,Công ty con,52.128.992.732,72.367.966.960,,,,,,,,,,,52128992732.0,72367966960.0,,,,,,,,,
An Phát International Inc,Bên sìn guan > An Phát International Inc,An Phát International Inc,Công ty công (kinh đạo chủ chất),36.793.269.521,32.347.442.208,,,,,105.651.500.000,,,,,,36793269521.0,32347442208.0,,,,,105651500000.0,,,,
"Công ty Cố prân Sân xuất Tông hợp Sunrise Việt Nam (""Công ty Sunrise"")","Bên sìn guan > Công ty Cố prân Sân xuất Tông hợp Sunrise Việt Nam (""Công ty Sunrise"")","Công ty Cố prân Sân xuất Tông hợp Sunrise Việt Nam (""Công ty Sunrise"")",Công ty kên sít,9.031.079.479,37.712.138.270,,,,,,,,,,,9031079479.0,37712138270.0,,,,,,,,,
Công ty An Tin,Bên sìn guan > Công ty An Tin,Công ty An Tin,Công ty con,1.059.973.544,62.886.094.156,,,,,,,,,,,1059973544.0,62886094156.0,,,,,,,,,
Công ty An Phát Holdings,Bên sìn guan > Công ty An Phát Holdings,Công ty An Phát Holdings,Công ty me,1.907.478.171,6.900.000,,,,,,420.000.000.000,56.152.825.000,58.100.000.000,,,1907478171.0,6900000.0,,,,,,420000000000.0,56152825000.0,58100000000.0,
"Công ty TNHH An Trung Industries (""Công ty An Trung"")","Bên sìn guan > Công ty TNHH An Trung Industries (""Công ty An Trung"")","Công ty TNHH An Trung Industries (""Công ty An Trung"")",Công ty công Tạp doàn,124.196.872,128.925.920,,7.300.000.000,7.300.000.000,,,,,,,,124196872.0,128925920.0,,7300000000.0,7300000000.0,,,,,,
Công ty An Phát Complex,Bên sìn guan > Công ty An Phát Complex,Công ty An Phát Complex,Công ty con,289.090.909,,10.906.398.617,372.300.000.000,292.640.000.000,,,5.611.548.480,,,,,289090909.0,,10906398617.0,372300000000.0,292640000000.0,,,5611548480.0,,,
Công ty TNHH Inh Hến ithư ở ở Ventasi An Phát,Bên sìn guan > Công ty TNHH Inh Hến ithư ở ở Ventasi An Phát,Công ty TNHH Inh Hến ithư ở ở Ventasi An Phát,Công ty công Tạp doàn,64.561.907,,,,,,,,,,,,64561907.0,,,,,,,,,,
Công ty TNHH MTV Co-khi chính sào và chế tạo chuyên mâu Việt Nam,Bên sìn guan > Công ty TNHH MTV Co-khi chính sào và chế tạo chuyên mâu Việt Nam,Công ty TNHH MTV Co-khi chính sào và chế tạo chuyên mâu Việt Nam,Công ty công Tạp doàn,387.500,,,,,,,,,,,,387500.0,,,,,,,,,,
"Công ty Ankor Bioplastics Co., Ltd.","Bên sìn guan > Công ty Ankor Bioplastics Co., Ltd.","Công ty Ankor Bioplastics Co., Ltd.",Công ty công (kinh đạo chủ chất),,4.861.799.515,,,,,,,,,,,,4861799515.0,,,,,,,,,
Pham Anh Dương,Bên sìn guan > Pham Anh Dương,Pham Anh Dương,Chú tích Hồ động Oudin tri,,,,,,,,,,,7.617.674.639,,,,,,,,,,,,7617674639.0
