row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Đơn vị tính: VNDTổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,Nguyên giả:,,,
Số đầu năm,Nguyên giả: > Số đầu năm,Số đầu năm,78.087.072.029,284.500.000,78.371.572.029,78087072029.0,284500000.0,78371572029.0
- Mua trong năm,Nguyên giả: > - Mua trong năm,- Mua trong năm,-,317.178.000,317.178.000,,317178000.0,317178000.0
Số cuối năm,Nguyên giả: > Số cuối năm,Số cuối năm,78.087.072.029,601.678.000,78.688.750.029,78087072029.0,601678000.0,78688750029.0
Giả trị hao mòn lùy kế:,Giả trị hao mòn lùy kế:,Giả trị hao mòn lùy kế:,Giả trị hao mòn lùy kế:,Giả trị hao mòn lùy kế:,Giả trị hao mòn lùy kế:,,,
Số đầu năm,Giả trị hao mòn lùy kế: > Số đầu năm,Số đầu năm,9.815.727.634,234.806.885,10.050.534.519,9815727634.0,234806885.0,10050534519.0
- Hao mòn trong năm,Giả trị hao mòn lùy kế: > - Hao mòn trong năm,- Hao mòn trong năm,2.532.803.640,73.425.620,2.606.229.260,2532803640.0,73425620.0,2606229260.0
Số cuối năm,Giả trị hao mòn lùy kế: > Số cuối năm,Số cuối năm,12.348.531.274,308.232.505,12.656.763.779,12348531274.0,308232505.0,12656763779.0
Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,Giả trị còn lại:,,,
Số đầu năm,Giả trị còn lại: > Số đầu năm,Số đầu năm,68.271.344.395,49.693.115,68.321.037.510,68271344395.0,49693115.0,68321037510.0
Số cuối năm,Giả trị còn lại: > Số cuối năm,Số cuối năm,65.738.540.755,293.445.495,66.031.986.250,65738540755.0,293445495.0,66031986250.0
