row_label_raw,row_label_full,col_0,Số cuối năm > Tỷ lệ vốn năm gió (%),Số cuối năm > Tỷ lệ biểu quyết (%),Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Tỷ lệ vốn năm giữ (%),Số đầu năm > Tỷ lệ biểu quyết (%),Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,numeric__Số cuối năm > Tỷ lệ vốn năm gió (%),numeric__Số cuối năm > Tỷ lệ biểu quyết (%),numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Tỷ lệ vốn năm giữ (%),numeric__Số đầu năm > Tỷ lệ biểu quyết (%),numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng
Đầu tư vào công ty conCông ty An Tiên (i)Công ty An Phát Complex(**)Công ty An Thành (**) (ii)Công ty An Vinh (**) (iv),Đầu tư vào công ty conCông ty An Tiên (i)Công ty An Phát Complex(**)Công ty An Thành (**) (ii)Công ty An Vinh (**) (iv),Đầu tư vào công ty conCông ty An Tiên (i)Công ty An Phát Complex(**)Công ty An Thành (**) (ii)Công ty An Vinh (**) (iv),"63,54100,0074,1256,51","63,54100,0099,3756,51",245.094.519.238910.000.000.00067.200.000.000243.000.000.0001.465.294.519.238,-,354.109.366.200910.000.000.00067.200.000.000240.147.067.115(2.852.932.885)1.571.456.433.315,"50,99100,0035,31-","50,99100,0069,26-",197.491.252.000910.000.000.000-,-136.320.000.000910.000.000.000-1.046.320.000.000,,,2.4509451923891e+59,,,,,,
Đầu tư vào công ty liên kếtCông ty Nhựa Hà Nội (iii),Đầu tư vào công ty liên kếtCông ty Nhựa Hà Nội (iii),Đầu tư vào công ty liên kếtCông ty Nhựa Hà Nội (iii),"20,24","20,24",360.055.546.231360.055.546.231,-,418.971.397.600418.971.397.600,-,-,-,-,20.24,20.24,3.6005554623136004e+23,,4.1897139760041896e+23,,,,
Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Nhựa Bao bi Vinh (v),Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Nhựa Bao bi Vinh (v),Đầu tư góp vốn vào đơn vị khácCông ty Cổ phần Nhựa Bao bi Vinh (v),10,10,17.353.094.15817.353.094.158,(478.094.158)(478.094.158),16.875.000.00016.875.000.000,-,-,-,-,10.0,10.0,1.735309415817353e+21,,1.687500000016875e+21,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,1.842.703.159.627,(3.331.027.043),2.007.302.830.915,,,1.107.491.252.000,-1.046.320.000.000,,,1842703159627.0,-3331027043.0,2007302830915.0,,,1107491252000.0,-1046320000000.0
