row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND,numeric__Năm nay,numeric__Đơn vị tính: VND
Chi phí bản hàng,Chi phí bản hàng,Chi phí bản hàng,Chi phí bản hàng,Chi phí bản hàng,,
Chi phí nhân viên bản hàng,Chi phí bản hàng > Chi phí nhân viên bản hàng,Chi phí nhân viên bản hàng,5.216.651.818,6.082.969.225,5216651818.0,6082969225.0
Chi phí khấu hao tài sản cố định,Chi phí bản hàng > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,12.689.268.683,12.899.661.891,12689268683.0,12899661891.0
Chi phí dịch vụ mua ngoài,Chi phí bản hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,87.071.117.960,86.410.849.460,87071117960.0,86410849460.0
Chi phí khác,Chi phí bản hàng > Chi phí khác,Chi phí khác,7.083.232.691,11.787.827.805,7083232691.0,11787827805.0
TỔNG CỘNG,Chi phí bản hàng > TỔNG CỘNG,TỔNG CỘNG,112.060.271.152,117.181.308.381,112060271152.0,117181308381.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Chi phí nhân viên quản lý,Chi phí quản lý doanh nghiệp > Chi phí nhân viên quản lý,Chi phí nhân viên quản lý,19.667.272.293,20.085.949.786,19667272293.0,20085949786.0
Chi phí khấu hao tài sản cố định,Chi phí quản lý doanh nghiệp > Chi phí khấu hao tài sản cố định,Chi phí khấu hao tài sản cố định,16.204.412.318,16.798.924.087,16204412318.0,16798924087.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,21.224.916.106,39.409.238.921,21224916106.0,39409238921.0
Chi phí nguyên vật liệu,Chi phí quản lý doanh nghiệp > Chi phí nguyên vật liệu,Chi phí nguyên vật liệu,719.078.756,777.210.900,719078756.0,777210900.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,7.960.995.624,6.302.439.249,7960995624.0,6302439249.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,65.776.675.097,83.373.762.943,65776675097.0,83373762943.0
