row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam – Chi nhánh Hải Dương > Công ty TNHH Chứng khoán Shinhan Việt Nam (*) > Ngân hàng Shinhan Việt Nam – Chi nhánh Hà Nội (*) > Ngân hàng TNHH MTV Woori Việt Nam (*) > Ngân hàng Keb Hana – Chi nhánh TP Hồ Chí Minh,Số cuối năm VND > 49.775.000.000 > 99.088.465.907 > 99.088.465.906,"Kỳ hạn trả gốc > Trải phiếu phát hành vào tháng 9 năm 2016, có kỳ hạn 5 năm. Tiền gốc thanh toán bất đầu từ năm thứ 3, mỗi kỳ thanh toán 50 tỷ VND. Lãi suất 7,8%. > Hợp đồng đặt mua 100 trải phiếu, tương đương 100 tỷ VND. Ngày phát hành trải phiếu là 8 tháng 11 năm 2018. Trải phiếu có kỳ hạn 3 năm. Lãi suất 6,7%.","Hình thức đảm bảo > Tại sản đảm bảo là toàn bộ Nhà máy số 6 mở rộng tại cụm công nghiệp An Đồng – Hải Dương bao gồm quyền sử dụng đất, tài sản hình thanh trên đất, máy móc thiết bị và nhà xuống. > Tại sản đảm bảo là các tài sản theo các hợp đồng cảm có có phần liên quan. Cụ thể, Công ty An Phát Holdings, công ty mẹ của Công ty đã cảm có có phần đang lưu hành của Công ty và Công ty cũng cảm có có phần đang lưu hành tại Công ty An Tiến cho các bên nhận đảm bảo.",numeric__Số cuối năm VND > 49.775.000.000 > 99.088.465.907 > 99.088.465.906,"numeric__Kỳ hạn trả gốc > Trải phiếu phát hành vào tháng 9 năm 2016, có kỳ hạn 5 năm. Tiền gốc thanh toán bất đầu từ năm thứ 3, mỗi kỳ thanh toán 50 tỷ VND. Lãi suất 7,8%. > Hợp đồng đặt mua 100 trải phiếu, tương đương 100 tỷ VND. Ngày phát hành trải phiếu là 8 tháng 11 năm 2018. Trải phiếu có kỳ hạn 3 năm. Lãi suất 6,7%.","numeric__Hình thức đảm bảo > Tại sản đảm bảo là toàn bộ Nhà máy số 6 mở rộng tại cụm công nghiệp An Đồng – Hải Dương bao gồm quyền sử dụng đất, tài sản hình thanh trên đất, máy móc thiết bị và nhà xuống. > Tại sản đảm bảo là các tài sản theo các hợp đồng cảm có có phần liên quan. Cụ thể, Công ty An Phát Holdings, công ty mẹ của Công ty đã cảm có có phần đang lưu hành của Công ty và Công ty cũng cảm có có phần đang lưu hành tại Công ty An Tiến cho các bên nhận đảm bảo."
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,446.128.863.627,,,446128863627.0,,
Trong đó:- Trải phiếu phát hành đến hạn trả- Trải phiếu phải trả dài hạn,Trong đó:- Trải phiếu phát hành đến hạn trả- Trải phiếu phải trả dài hạn,Trong đó:- Trải phiếu phát hành đến hạn trả- Trải phiếu phải trả dài hạn,446.128.863.627-,,,,,
