row_label_raw,row_label_full,col_0,2025VND,2025VND_1,numeric__2025VND,numeric__2025VND_1
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,285.776.095.884,311.996.159.857,285776095884.0,311996159857.0
"Mua sắm, xây dựng cơ bản","Mua sắm, xây dựng cơ bản","Mua sắm, xây dựng cơ bản",4.202.496.647.925,239.401.927.161,4202496647925.0,239401927161.0
Chuyển sang TSCĐ hữu hình(Thuyết minh 11(a)) (*),Chuyển sang TSCĐ hữu hình(Thuyết minh 11(a)) (*),Chuyển sang TSCĐ hữu hình(Thuyết minh 11(a)) (*),(45.232.596.535),(20.287.405.354),-45232596535.0,-20287405354.0
Chuyển sang chi phí trả trước dài hạn(Thuyết minh 10(b)),Chuyển sang chi phí trả trước dài hạn(Thuyết minh 10(b)),Chuyển sang chi phí trả trước dài hạn(Thuyết minh 10(b)),-,(245.334.585.780),,-245334585780.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,4.443.040.147.274,285.776.095.884,4443040147274.0,285776095884.0
