row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúc ngày31 tháng 12 năm,Năm tài chính kết thúc ngày31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúc ngày31 tháng 12 năm,numeric__Năm tài chính kết thúc ngày31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2025VND,2024VND,,,,
01,Mãsố > 01,01,Doanh thu bán hàng và cung cấp dịch vụ,,14.899.234.663.086,20.707.517.191.896,,,14899234663086.0,20707517191896.0
02,Mãsố > 02,02,Các khoản giảm trừ doanh thu,,(91.089.645.931),(98.495.001.819),,,-91089645931.0,-98495001819.0
10,Mãsố > 10,10,Doanh thu thuần về bán hàng vàcung cấp dịch vụ,25,14.808.145.017.155,20.609.022.190.077,,25.0,14808145017155.0,20609022190077.0
11,Mãsố > 11,11,Giá vốn hàng bán và dịch vụ cung cấp,26,(14.022.971.429.536),(18.777.248.235.147),,26.0,-14022971429536.0,-18777248235147.0
20,Mãsố > 20,20,Lợi nhuận gộp về bán hàng và cung cấpdịch vụ,,785.173.587.619,1.831.773.954.930,,,785173587619.0,1831773954930.0
21,Mãsố > 21,21,Doanh thu hoạt động tài chính,27,214.162.431.431,340.616.629.555,,27.0,214162431431.0,340616629555.0
22,Mãsố > 22,22,Chi phí tài chính,28,(317.757.794.341),(477.097.484.465),,28.0,-317757794341.0,-477097484465.0
23,Mãsố > 23,23,- Trong đó: Chi phí lãi vay,,(219.641.639.289),(207.841.259.563),,,-219641639289.0,-207841259563.0
25,Mãsố > 25,25,Chi phí bán hàng,29,(431.083.262.721),(1.017.598.597.652),,29.0,-431083262721.0,-1017598597652.0
26,Mãsố > 26,26,Chi phí quản lý doanh nghiệp,30,(123.740.697.140),(120.241.517.086),,30.0,-123740697140.0,-120241517086.0
30,Mãsố > 30,30,Lợi nhuận thuần từ hoạt động kinh doanh,,126.754.264.848,557.452.985.282,,,126754264848.0,557452985282.0
31,Mãsố > 31,31,Thu nhập khác,,117.006.546.237,2.131.688.227,,,117006546237.0,2131688227.0
32,Mãsố > 32,32,Chi phí khác,,(2.917.609.697),(1.414.688.014),,,-2917609697.0,-1414688014.0
40,Mãsố > 40,40,Lợi nhuận khác,31,114.088.936.540,717.000.213,,31.0,114088936540.0,717000213.0
50,Mãsố > 50,50,Tổng lợi nhuận kế toán trước thuế,,240.843.201.388,558.169.985.495,,,240843201388.0,558169985495.0
51,Mãsố > 51,51,Chi phí thuế thu nhập doanh nghiệp(“TNDN”) hiện hành,32,(46.468.599.248),(106.682.329.798),,32.0,-46468599248.0,-106682329798.0
52,Mãsố > 52,52,Thu nhập thuế TNDN hoãn lại,32,2.721.748.249,1.520.488.743,,32.0,2721748249.0,1520488743.0
60,Mãsố > 60,60,Lợi nhuận sau thuế TNDN,,197.096.350.389,453.008.144.440,,,197096350389.0,453008144440.0
,,,Phân bổ cho:,,,,,,,
61,Mãsố > 61,61,Cổ đông của Công ty,,197.122.282.688,453.008.144.440,,,197122282688.0,453008144440.0
62,Mãsố > 62,62,Cổ đông không kiểm soát,,(25.932.299),-,,,-25932299.0,
70,Mãsố > 70,70,Lãi cơ bản trên cổ phiếu,23(a),,1.348,,,,1348.0
71,Mãsố > 71,71,Lãi suy giảm trên cổ phiếu,23(b),,1.348,,,,1348.0
