row_label_raw,row_label_full,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,3.273.866.716,2.899.330.020,numeric__Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,numeric__3.273.866.716,numeric__2.899.330.020
Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Ông Hồ Minh QuangÔng Võ Hoàng Vũ,Chủ tịch Hội đồng Quản trịThành viên Hội đồng Quản trị kiểm Tổng Giám đốc,2.828.225.356,2.498.968.454,,2828225356.0,2498968454.0
Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Ông Nguyễn Vinh An,Thành viên Hội đồng Quản trị kiểm Phó Tổng Giám Đốc,1.508.968.581,1.348.145.827,,1508968581.0,1348145827.0
Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Thành viên Hội đồng Quản trị Thành viên Hội đồng Quản trị (đến ngày 25 tháng 4 năm 2024),68.033.000100.000.000,-100.000.000,,6.80330001e+16,-100000000.0
Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Ông Nguyễn Trung TínÔng Võ ThờiBà Nguyễn Ngọc Ý Nhi,Thành viên Hội đồng Quản trị Thành viên Hội đồng Quản trị (đến ngày 25 tháng 4 năm 2024),31.967.000,100.000.000,,31967000.0,100000000.0
Ông Đăng Văn Hòa,Ông Đăng Văn Hòa,Ông Đăng Văn Hòa,Trường Ban kiểm soát(từ ngày 25 tháng 4 năm 2025),,,,,
Ông Đăng Văn Hòa,Ông Đăng Văn Hòa > Ông Đăng Văn Hòa,Ông Đăng Văn Hòa,Thành viên Ban Kiểm soát(dến ngày 24 tháng 4 năm 2025),367.642.781,187.780.984,,367642781.0,187780984.0
Bà Võ Thị Vui,Ông Đăng Văn Hòa > Bà Võ Thị Vui,Bà Võ Thị Vui,Trường Ban Kiểm soát(từ ngày 26 tháng 4 năm 2024 đến ngày 24 tháng 4 năm 2025),213.484.121,503.513.879,,213484121.0,503513879.0
Bà Nguyễn Thị Bích Nhi,Ông Đăng Văn Hòa > Bà Nguyễn Thị Bích Nhi,Bà Nguyễn Thị Bích Nhi,Trường Ban Kiểm soát(dến ngày 25 tháng 4 năm 2024),-,147.487.722,,,147487722.0
Ông Lê Nhật TânBà Trần Thị Tuyết Mai,Ông Đăng Văn Hòa > Ông Lê Nhật TânBà Trần Thị Tuyết Mai,Ông Lê Nhật TânBà Trần Thị Tuyết Mai,Thành viên Ban Kiểm soátThành viên Ban Kiểm soát(từ ngày 25 tháng 4 năm 2025),377.307.893,340.074.574,,377307893.0,340074574.0
Các thành viên khác,Ông Đăng Văn Hòa > Các thành viên khác,Các thành viên khác,Thành viên Ban Tổng Giám Đốc,184.197.9626.847.933.184,-8.276.897.450,,1.8419796268479332e+18,-8276897450.0
,,,,15.801.626.594,16.402.198.910,,15801626594.0,16402198910.0
