row_label_raw,row_label_full,col_0,Quyền sử dụng đất VND,Phần mềm vi tính VND,Tổng cộng VND,numeric__Quyền sử dụng đất VND,numeric__Phần mềm vi tính VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,381.121.111.684,9.977.018.000,391.098.129.684,381121111684.0,9977018000.0,391098129684.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,60.673.000,60.673.000,,60673000.0,60673000.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,381.121.111.684,10.037.691.000,391.158.802.684,381121111684.0,10037691000.0,391158802684.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,63.059.504.441,6.991.686.445,70.051.190.886,63059504441.0,6991686445.0,70051190886.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,9.724.161.220,1.495.699.429,11.219.860.649,9724161220.0,1495699429.0,11219860649.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,72.783.665.661,8.487.385.874,81.271.051.535,72783665661.0,8487385874.0,81271051535.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,318.061.607.243,2.985.331.555,321.046.938.798,318061607243.0,2985331555.0,321046938798.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,308.337.446.023,1.550.305.126,309.887.751.149,308337446023.0,1550305126.0,309887751149.0
