row_label_raw,row_label_full,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty TNHH TM – DV – XD Phú Mỹ > Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng > Công ty Cổ phần Thương mại và Sản xuất Thái Bình > Khác > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,2025 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 21.563.491.900 > 6.100.154.090 > 1.455.478.000 > 7.486.492.651 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2025 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 10.781.745.942 > 1.830.046.228 > - > 515.214.683 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,2025 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 10.781.745.958 > 4.270.107.862 > 1.455.478.000 > 6.971.277.968 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,2025 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 năm đến 2 năm > Từ 1 năm đến 3 năm > Trên 3 năm > Từ 6 tháng đến trên 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm,numeric__2025 > Giá trị gốc VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 21.563.491.900 > 6.100.154.090 > 1.455.478.000 > 7.486.492.651 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2025 > Giá trị có thể thu hồi VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 10.781.745.942 > 1.830.046.228 > - > 515.214.683 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > -,numeric__2025 > Dự phòng VND > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > 10.781.745.958 > 4.270.107.862 > 1.455.478.000 > 6.971.277.968 > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > 1.776.134.439,numeric__2025 > Thời gian quá hạn > i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Từ 1 năm đến 2 năm > Từ 1 năm đến 3 năm > Trên 3 năm > Từ 6 tháng đến trên 3 năm > ii- Tổng giá trị các khoản phải thu khác ngắn hạn quá hạn thanh toán > Trên 3 năm
,,,38.381.751.080,13.127.006.853,25.254.744.227,,38381751080.0,13127006853.0,25254744227.0,
,,,2024,2024,2024,2024,2024.0,2024.0,2024.0,2024.0
,,,Giá trị gốc VND,Giá trị có thể thu hồi VND,Dự phòng VND,Thời gian quá hạn,,,,
i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán,,,,
Công ty TNHH TM – DV – XD Phú Mỹ,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty TNHH TM – DV – XD Phú Mỹ,Công ty TNHH TM – DV – XD Phú Mỹ,16.681.445.874,15.387.243.538,1.294.202.336,Từ 6 tháng đến 1 năm,16681445874.0,15387243538.0,1294202336.0,
Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,Công ty Cổ phần Đầu tư Thương mại Cửu Long Hưng,6.100.154.090,3.045.577.045,3.054.577.045,Từ 6 tháng đến 2 năm,6100154090.0,3045577045.0,3054577045.0,
Công ty Cổ phần Thương mại và Sản xuất Thái Bình,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Công ty Cổ phần Thương mại và Sản xuất Thái Bình,Công ty Cổ phần Thương mại và Sản xuất Thái Bình,1.455.478.000,-,1.455.478.000,Trên 3 năm,1455478000.0,,1455478000.0,
Khác,i- Tổng giá trị các khoản phải thu khách hàng ngắn hạn quá hạn thanh toán > Khác,Khác,9.790.481.744,3.575.014.147,6.215.467.597,Từ 1 năm đến trên 3 năm,9790481744.0,3575014147.0,6215467597.0,
ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán,,,,
Công ty Liên Doanh Thép Nam Kim,ii- Tổng giá trị các khoản phải thu ngắn hạn khác quá hạn thanh toán > Công ty Liên Doanh Thép Nam Kim,Công ty Liên Doanh Thép Nam Kim,1.776.134.439,-,1.776.134.439,Trên 3 năm,1776134439.0,,1776134439.0,
