row_label_raw,row_label_full,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_1,Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_2,numeric__Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_1,numeric__Bà Nguyễn Thị Ngọc Liên - Phó Tổng Giám Đốc_2
Tăng tạm ứng,Tăng tạm ứng,Tăng tạm ứng,1.303.466.190,1.023.900.000,1303466190.0,1023900000.0
Hoàn ứng,Hoàn ứng,Hoàn ứng,1.258.417.390,1.054.900.000,1258417390.0,1054900000.0
