row_label_raw,row_label_full,col_0,Tại ngày1.1.2025VND,Số phải thu trong năm VND,Hoàn thuế trong năm VND,Số đã cán trừ trong năm VND,Tại ngày31.12.2025VND,numeric__Tại ngày1.1.2025VND,numeric__Số phải thu trong năm VND,numeric__Hoàn thuế trong năm VND,numeric__Số đã cán trừ trong năm VND,numeric__Tại ngày31.12.2025VND
(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,(a) Thuế và các khoản phải thu,,,,,
Thuế GTGT được khấu trừ,(a) Thuế và các khoản phải thu > Thuế GTGT được khấu trừ,Thuế GTGT được khấu trừ,900.629.593.202,1.683.781.509.467,(300.822.000.000),(1.010.911.531.352),1.272.677.571.317,900629593202.0,1683781509467.0,-300822000000.0,-1010911531352.0,1272677571317.0
"Thuế xuất, nhập khẩu nộp dư","(a) Thuế và các khoản phải thu > Thuế xuất, nhập khẩu nộp dư","Thuế xuất, nhập khẩu nộp dư",-,292.709.662,-,-,292.709.662,,292709662.0,,,292709662.0
Thuế GTGT hàng nhập khẩu nộp dư,(a) Thuế và các khoản phải thu > Thuế GTGT hàng nhập khẩu nộp dư,Thuế GTGT hàng nhập khẩu nộp dư,-,29.270.966,-,-,29.270.966,,29270966.0,,,29270966.0
"Thuế thu nhập cá nhân (""TNCN"") nộp dư","(a) Thuế và các khoản phải thu > Thuế thu nhập cá nhân (""TNCN"") nộp dư","Thuế thu nhập cá nhân (""TNCN"") nộp dư",-,224.089,-,-,224.089,,224089.0,,,224089.0
,,,900.629.593.202,1.684.103.714.184,(300.822.000.000),(1.010.911.531.352),1.272.999.776.034,900629593202.0,1684103714184.0,-300822000000.0,-1010911531352.0,1272999776034.0
,,,Tại ngày1.1.2025VND,Số phải nộp trong năm VND,Số đã thực nộp trong năm VND,Số đã cán trừ trong năm VND,Tại ngày31.12.2025VND,,,,,
(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,(b) Thuế và các khoản phải nộp,,,,,
Thuế GTGT hàng bán trong nước,(b) Thuế và các khoản phải nộp > Thuế GTGT hàng bán trong nước,Thuế GTGT hàng bán trong nước,-,1.016.268.153.399,(3.466.151.481),(1.010.911.531.352),1.890.470.566,,1016268153399.0,-3466151481.0,-1010911531352.0,1890470566.0
Thuế GTGT hàng nhập khẩu,(b) Thuế và các khoản phải nộp > Thuế GTGT hàng nhập khẩu,Thuế GTGT hàng nhập khẩu,70.741.893.107,707.631.364.909,(723.054.996.475),-,55.318.261.541,70741893107.0,707631364909.0,-723054996475.0,,55318261541.0
"Thuế xuất, nhập khẩu","(b) Thuế và các khoản phải nộp > Thuế xuất, nhập khẩu","Thuế xuất, nhập khẩu",349.553.444,2.982.706.160,(3.232.558.172),-,99.701.432,349553444.0,2982706160.0,-3232558172.0,,99701432.0
Thuế TNDN,(b) Thuế và các khoản phải nộp > Thuế TNDN,Thuế TNDN,106.682.329.798,46.770.326.993,(106.984.057.543),-,46.468.599.248,106682329798.0,46770326993.0,-106984057543.0,,46468599248.0
Thuế TNCN,(b) Thuế và các khoản phải nộp > Thuế TNCN,Thuế TNCN,2.541.653.345,7.181.705.310,(8.744.439.977),-,978.918.678,2541653345.0,7181705310.0,-8744439977.0,,978918678.0
Thuế nhà thầu,(b) Thuế và các khoản phải nộp > Thuế nhà thầu,Thuế nhà thầu,-,27.041.632.008,(27.029.742.640),-,11.889.368,,27041632008.0,-27029742640.0,,11889368.0
Khác,(b) Thuế và các khoản phải nộp > Khác,Khác,53.701.510,30.728.297.993,(30.743.139.907),-,38.859.596,53701510.0,30728297993.0,-30743139907.0,,38859596.0
,,,180.369.131.204,1.811.562.554.764,(876.225.343.555),(1.010.911.531.352),104.794.811.061,180369131204.0,1811562554764.0,-876225343555.0,-1010911531352.0,104794811061.0
