row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND","Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bịvăn phòngVND,KhácVND,Tổng cộngVND,"numeric__Nhà cửa,vật kiến trúcVND","numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bịvăn phòngVND,numeric__KhácVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Tại ngày 1 tháng 1 năm 2025,Nguyên giá > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,771.055.691.669,4.006.709.229.551,288.952.580.760,16.631.372.756,725.753.480,5.084.074.628.216,771055691669.0,4006709229551.0,288952580760.0,16631372756.0,725753480.0,5084074628216.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,6.321.994.000,94.247.971.326,-,-,100.569.965.326,,6321994000.0,94247971326.0,,,100569965326.0
Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Nguyên giá > Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),Chuyển từ chi phí xây dựng cơbản dở dang (Thuyết minh 12),-,31.078.429.195,14.154.167.340,-,-,45.232.596.535,,31078429195.0,14154167340.0,,,45232596535.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(122.599.095.309),(1.903.785.909),(168.051.500),-,(124.670.932.718),,-122599095309.0,-1903785909.0,-168051500.0,,-124670932718.0
Tại ngày 31 tháng 12 năm 2025,Nguyên giá > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,771.055.691.669,3.921.510.557.437,395.450.933.517,16.463.321.256,725.753.480,5.105.206.257.359,771055691669.0,3921510557437.0,395450933517.0,16463321256.0,725753480.0,5105206257359.0
Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,Giá trị khấu hao lũy kế,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,443.727.340.228,2.764.508.937.844,162.257.588.738,12.764.820.813,518.203.073,3.383.776.890.696,443727340228.0,2764508937844.0,162257588738.0,12764820813.0,518203073.0,3383776890696.0
Khấu hao trong năm,Giá trị khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,45.926.655.113,282.471.861.975,21.129.334.726,1.396.116.226,7.456.901,350.931.424.941,45926655113.0,282471861975.0,21129334726.0,1396116226.0,7456901.0,350931424941.0
Thanh lý,Giá trị khấu hao lũy kế > Thanh lý,Thanh lý,-,(122.599.095.309),(1.570.119.262),(168.051.500),-,(124.337.266.071),,-122599095309.0,-1570119262.0,-168051500.0,,-124337266071.0
Tại ngày 31 tháng 12 năm 2025,Giá trị khấu hao lũy kế > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,489.653.995.341,2.924.381.704.510,181.816.804.202,13.992.885.539,525.659.974,3.610.371.049.566,489653995341.0,2924381704510.0,181816804202.0,13992885539.0,525659974.0,3610371049566.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Tại ngày 1 tháng 1 năm 2025,Giá trị còn lại > Tại ngày 1 tháng 1 năm 2025,Tại ngày 1 tháng 1 năm 2025,327.328.351.441,1.242.200.291.707,126.694.992.022,3.866.551.943,207.550.407,1.700.297.737.520,327328351441.0,1242200291707.0,126694992022.0,3866551943.0,207550407.0,1700297737520.0
Tại ngày 31 tháng 12 năm 2025,Giá trị còn lại > Tại ngày 31 tháng 12 năm 2025,Tại ngày 31 tháng 12 năm 2025,281.401.696.328,997.128.852.927,213.634.129.315,2.470.435.717,200.093.506,1.494.835.207.793,281401696328.0,997128852927.0,213634129315.0,2470435717.0,200093506.0,1494835207793.0
