row_label_raw,row_label_full,col_0,Công ty Cổ phầnTranseco,Công ty TNHHChế biến thựcphẩm Dabaco,Tổng cộng,numeric__Công ty Cổ phầnTranseco,numeric__Công ty TNHHChế biến thựcphẩm Dabaco,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,20.000.000.000,105.000.000.000,125.000.000.000,20000000000.0,105000000000.0,125000000000.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,20.000.000.000,105.000.000.000,125.000.000.000,20000000000.0,105000000000.0,125000000000.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,3.068.725.907,(25.655.905.318),(22.587.179.411),3068725907.0,-25655905318.0,-22587179411.0
- Phần lợi nhuận trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Phần lợi nhuận trong năm,- Phần lợi nhuận trong năm,4.902.532.872,2.070.533,4.904.603.405,4902532872.0,2070533.0,4904603405.0
- Cổ tức được chia trongnăm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > - Cổ tức được chia trongnăm,- Cổ tức được chia trongnăm,(2.000.000.000),-,(2.000.000.000),-2000000000.0,,-2000000000.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,5.971.258.779,(25.653.834.785),(19.682.576.006),5971258779.0,-25653834785.0,-19682576006.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,23.068.725.907,79.344.094.682,102.412.820.589,23068725907.0,79344094682.0,102412820589.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,25.971.258.779,79.346.165.215,105.317.423.994,25971258779.0,79346165215.0,105317423994.0
