row_label_raw,row_label_full,Số đầu năm > Giá trị (đồng thời là số có khả năng trả nợ),Số phát sinh trong năm > Tăng,Số phát sinh trong năm > Giảm,Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ),numeric__Số phát sinh trong năm > Tăng,numeric__Số phát sinh trong năm > Giảm,numeric__Đơn vị tính: VND Số cuối năm > Giá trị (đồng thời là số có khả năng trả nợ)
1.609.666.650.631,1.609.666.650.631,1.609.666.650.631,6.607.662.867.985,(6.254.960.161.441),1.962.369.357.175,6607662867985.0,-6254960161441.0,1962369357175.0
392.128.508.318,392.128.508.318,392.128.508.318,421.233.612.563,(442.149.752.018),371.212.368.863,421233612563.0,-442149752018.0,371212368863.0
106.146.336.433,106.146.336.433,106.146.336.433,71.664.994.459,(105.933.736.251),71.877.594.641,71664994459.0,-105933736251.0,71877594641.0
-,-,-,94.000.000.000,-,94.000.000.000,94000000000.0,,94000000000.0
50.000.000.000,50.000.000.000,50.000.000.000,100.000.000.000,(50.000.000.000),100.000.000.000,100000000000.0,-50000000000.0,100000000000.0
2.157.941.495.382,2.157.941.495.382,2.157.941.495.382,7.294.561.475.007,(6.853.043.649.710),2.599.459.320.679,7294561475007.0,-6853043649710.0,2599459320679.0
754.220.800.452,754.220.800.452,754.220.800.452,246.164.759.071,(539.133.612.563),461.251.946.960,246164759071.0,-539133612563.0,461251946960.0
145.298.625.139,145.298.625.139,145.298.625.139,4.547.580.672,(73.863.235.738),75.982.970.073,4547580672.0,-73863235738.0,75982970073.0
94.000.000.000,94.000.000.000,94.000.000.000,-,(94.000.000.000),-,,-94000000000.0,
250.000.000.000,250.000.000.000,250.000.000.000,-,(100.000.000.000),150.000.000.000,,-100000000000.0,150000000000.0
1.243.519.425.591,1.243.519.425.591,1.243.519.425.591,250.712.339.743,(806.996.848.301),687.234.917.033,250712339743.0,-806996848301.0,687234917033.0
