row_label_raw,row_label_full,Các khoản vay > Các khoản vay ngân hàng bằng VND,Số cuối năm(VND) > 832.464.315.823,Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 6 năm 2022 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"Lãi suấtnăm > 8,5% - 11,5%",numeric__Số cuối năm(VND) > 832.464.315.823,numeric__Kỳ hạn trả gốc và lãi > Kỳ hạn khoản vay từ 3 đến 6 năm. Gốc vay được trả lần cuối trong giai đoạn từ tháng 6 năm 2022 đến tháng 1 năm 2029. Lãi vay trả hàng tháng.,"numeric__Lãi suấtnăm > 8,5% - 11,5%"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,832.464.315.823,,,832464315823.0,,
Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,Trong đóVay dài hạn đến hạn trảVay dài hạn,371.212.368.863461.251.946.960,,,3.7121236886346126e+23,,
