row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,10.961.929.700.091,10.189.067.019.482,10961929700091.0,10189067019482.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,9.672.741.265.528,8.884.827.428.859,9672741265528.0,8884827428859.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",401.526.773.519,862.232.173.135,401526773519.0,862232173135.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó: > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,887.661.661.044,442.007.417.488,887661661044.0,442007417488.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,(149.135.106.950),(167.483.513.799),-149135106950.0,-167483513799.0
Chiết khấu thương mại,Trong đó: > Chiết khấu thương mại,Chiết khấu thương mại,(144.252.308.213),(159.007.575.331),-144252308213.0,-159007575331.0
Giảm giá hàng bán,Trong đó: > Giảm giá hàng bán,Giảm giá hàng bán,(3.087.356),(3.210.922.335),-3087356.0,-3210922335.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,(4.879.711.381),(5.265.016.133),-4879711381.0,-5265016133.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,10.812.794.593.141,10.021.583.505.683,10812794593141.0,10021583505683.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu bán thành phẩm,Trong đó: > Doanh thu bán thành phẩm,Doanh thu bán thành phẩm,9.523.606.158.578,8.718.522.713.115,9523606158578.0,8718522713115.0
"Doanh thu bán vật liệu, hàng hóa","Trong đó: > Doanh thu bán vật liệu, hàng hóa","Doanh thu bán vật liệu, hàng hóa",401.526.773.519,861.053.375.080,401526773519.0,861053375080.0
Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Trong đó: > Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,Doanh thu chuyển nhượng bất động sản và dịch vụ xây lắp,887.661.661.044,442.007.417.488,887661661044.0,442007417488.0
