row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Trang thiết bịvăn phòng,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Trang thiết bịvăn phòng,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,3.176.926.551.846,2.139.348.927.223,257.228.357.224,41.828.826.459,5.615.332.662.752,3176926551846.0,2139348927223.0,257228357224.0,41828826459.0,5615332662752.0
- Mua trong năm,Nguyên giá: > - Mua trong năm,- Mua trong năm,-,35.085.307.124,39.036.138.664,853.014.857,74.974.460.645,,35085307124.0,39036138664.0,853014857.0,74974460645.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá: > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,238.147.260.149,307.117.988.526,5.564.296.045,1.495.248.499,552.324.793.219,238147260149.0,307117988526.0,5564296045.0,1495248499.0,552324793219.0
- Phân loại từ TSCĐ thuê tài chính,Nguyên giá: > - Phân loại từ TSCĐ thuê tài chính,- Phân loại từ TSCĐ thuê tài chính,-,119.507.512.455,-,-,119.507.512.455,,119507512455.0,,,119507512455.0
"- Thanh lý, nhượng bán","Nguyên giá: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(19.557.645.493),(12.938.095.719),(7.190.122.593),(286.287.191),(39.972.150.996),-19557645493.0,-12938095719.0,-7190122593.0,-286287191.0,-39972150996.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,3.395.516.166.502,2.588.121.639.609,294.638.669.340,43.890.802.624,6.322.167.278.075,3395516166502.0,2588121639609.0,294638669340.0,43890802624.0,6322167278075.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,,
Đã khấu hao hết,Trong đó: > Đã khấu hao hết,Đã khấu hao hết,52.879.240.912,183.538.982.639,68.478.410.444,5.174.816.397,310.071.450.392,52879240912.0,183538982639.0,68478410444.0,5174816397.0,310071450392.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,796.576.628.366,729.612.264.829,138.461.111.958,15.800.460.101,1.680.450.465.254,796576628366.0,729612264829.0,138461111958.0,15800460101.0,1680450465254.0
- Khẩu hao trong năm,Giá trị khấu hao lũy kế: > - Khẩu hao trong năm,- Khẩu hao trong năm,191.221.373.601,204.437.943.181,23.564.128.052,6.125.948.900,425.349.393.734,191221373601.0,204437943181.0,23564128052.0,6125948900.0,425349393734.0
- Phân loại từ TSCĐ thuê tài chính,Giá trị khấu hao lũy kế: > - Phân loại từ TSCĐ thuê tài chính,- Phân loại từ TSCĐ thuê tài chính,-,62.548.479.119,-,-,62.548.479.119,,62548479119.0,,,62548479119.0
"- Thanh lý, nhượng bán","Giá trị khấu hao lũy kế: > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(7.444.395.123),(10.419.191.063),(4.414.090.514),(286.287.191),(22.563.963.891),-7444395123.0,-10419191063.0,-4414090514.0,-286287191.0,-22563963891.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,980.353.606.844,986.179.496.066,157.611.149.496,21.640.121.810,2.145.784.374.216,980353606844.0,986179496066.0,157611149496.0,21640121810.0,2145784374216.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.380.349.923.480,1.409.736.662.394,118.767.245.266,26.028.366.358,3.934.882.197.498,2380349923480.0,1409736662394.0,118767245266.0,26028366358.0,3934882197498.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.415.162.559.658,1.601.942.143.543,137.027.519.844,22.250.680.814,4.176.382.903.859,2415162559658.0,1601942143543.0,137027519844.0,22250680814.0,4176382903859.0
Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (*),Giá trị còn lại: > Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (*),Trong đó:Tài sản sử dụng để cẩm cố/thế chấp (*),376.287.819.626,628.102.856.318,15.874.925.074,530.595.909,1.020.796.196.927,376287819626.0,628102856318.0,15874925074.0,530595909.0,1020796196927.0
