row_label_raw,row_label_full,col_0,Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,Kinh doanh con giống và chế biến thực phẩm,Điều chỉnh và loại trừ,Đơn vị tính: VND,numeric__Kinh doanh thức ăn chăn nuôi và nguyên vật liệu sản xuất thức ăn chăn nuôi,numeric__Kinh doanh bất động sản và dịch vụ xây lắp và các hoạt động khác,numeric__Kinh doanh con giống và chế biến thực phẩm,numeric__Điều chỉnh và loại trừ,numeric__Đơn vị tính: VND
Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,Doanh thu thuần,,,,,
Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,Doanh thu thuần từ bán hàng và cung cấp dịch vụ ra bên ngoài,3.104.763.558.976,975.402.386.069,5.941.417.560.638,-,10.021.583.505.683,3104763558976.0,975402386069.0,5941417560638.0,,10021583505683.0
Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần > Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,Doanh thu thuần từ bán hàng và cung cấp dịch vụ cho các bộ phận,5.055.574.787.564,283.418.275.523,1.236.708.125.983,(6.575.701.189.070),-,5055574787564.0,283418275523.0,1236708125983.0,-6575701189070.0,
Tổng doanh thu thuần,Doanh thu thuần > Tổng doanh thu thuần,Tổng doanh thu thuần,8.160.338.346.540,1.258.820.661.592,7.178.125.686.621,(6.575.701.189.070),10.021.583.505.683,8160338346540.0,1258820661592.0,7178125686621.0,-6575701189070.0,10021583505683.0
Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,Kết quả,,,,,
Lợi nhuận trước thuế,Kết quả > Lợi nhuận trước thuế,Lợi nhuận trước thuế,1.033.832.005.724,90.339.082.767,1.134.800.005.018,(704.997.759.206),1.553.973.334.303,1033832005724.0,90339082767.0,1134800005018.0,-704997759206.0,1553973334303.0
Chi phí thuế TNDN hiện hành,Kết quả > Chi phí thuế TNDN hiện hành,Chi phí thuế TNDN hiện hành,(37.959.636.943),(25.730.035.383),(89.987.629.649),-,(153.677.301.975),-37959636943.0,-25730035383.0,-89987629649.0,,-153677301975.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,995.872.368.781,64.609.047.384,1.044.812.375.369,(704.997.759.206),1.400.296.032.328,995872368781.0,64609047384.0,1044812375369.0,-704997759206.0,1400296032328.0
Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,Tài sản và nợ phải trả,,,,,
Tổng tài sản,Tài sản và nợ phải trả > Tổng tài sản,Tổng tài sản,6.589.807.122.582,1.664.855.118.780,4.577.357.891.704,(2.730.748.837.825),10.101.271.295.241,6589807122582.0,1664855118780.0,4577357891704.0,-2730748837825.0,10101271295241.0
Tài sản bộ phận,Tài sản và nợ phải trả > Tài sản bộ phận,Tài sản bộ phận,6.589.807.122.582,1.664.855.118.780,4.577.357.891.704,(3.603.124.821.135),9.228.895.311.931,6589807122582.0,1664855118780.0,4577357891704.0,-3603124821135.0,9228895311931.0
Tài sản không phân bổ (*),Tài sản và nợ phải trả > Tài sản không phân bổ (*),Tài sản không phân bổ (*),-,-,-,872.375.983.310,872.375.983.310,,,,872375983310.0,872375983310.0
Tổng nợ phải trả,Tài sản và nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,4.817.999.337.268,1.184.132.590.806,3.621.100.077.954,(3.728.920.901.475),5.894.311.104.553,4817999337268.0,1184132590806.0,3621100077954.0,-3728920901475.0,5894311104553.0
Nợ phải trả bộ phận,Tài sản và nợ phải trả > Nợ phải trả bộ phận,Nợ phải trả bộ phận,4.817.999.337.268,1.184.132.590.806,3.621.100.077.954,(3.728.920.901.475),5.894.311.104.553,4817999337268.0,1184132590806.0,3621100077954.0,-3728920901475.0,5894311104553.0
(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,(*) Tài sản không phân bổ chủ yếu bao gồm tiền và các khoản đầu tư tài chính.,,,,,
