row_label_raw,row_label_full,col_0,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số cuối năm,numeric__Giá trị ghi số(đồng thời là giá trị hợp lý) > Số đầu năm
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,105.317.423.994,102.412.820.589,105317423994.0,102412820589.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,105.317.423.994,102.412.820.589,105317423994.0,102412820589.0
