row_label_raw,row_label_full,col_0,"Máy móc, thiết bị",Phương tiện vận tải,Đơn vị tính: VND,"numeric__Máy móc, thiết bị",numeric__Phương tiện vận tải,numeric__Đơn vị tính: VND
,,,"Máy móc, thiết bị",Phương tiện vận tải,Tổng cộng,,,
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,682.186.580.932,4.548.613.341,686.735.194.273,682186580932.0,4548613341.0,686735194273.0
- Thuê thêm trong năm,Nguyên giá: > - Thuê thêm trong năm,- Thuê thêm trong năm,7.633.724.091,1.463.318.182,9.097.042.273,7633724091.0,1463318182.0,9097042273.0
- Phân loại sang TSCĐ hữu hình,Nguyên giá: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(119.507.512.455),-,(119.507.512.455),-119507512455.0,,-119507512455.0
- Giảm khác,Nguyên giá: > - Giảm khác,- Giảm khác,(7.614.750),-,(7.614.750),-7614750.0,,-7614750.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,570.305.177.818,6.011.931.523,576.317.109.341,570305177818.0,6011931523.0,576317109341.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,165.598.993.424,549.226.785,166.148.220.209,165598993424.0,549226785.0,166148220209.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,66.313.696.088,805.750.316,67.119.446.404,66313696088.0,805750316.0,67119446404.0
- Phân loại sang TSCĐ hữu hình,Giá trị khấu hao lũy kế: > - Phân loại sang TSCĐ hữu hình,- Phân loại sang TSCĐ hữu hình,(62.548.479.119),-,(62.548.479.119),-62548479119.0,,-62548479119.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,169.364.210.393,1.354.977.101,170.719.187.494,169364210393.0,1354977101.0,170719187494.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,516.587.587.508,3.999.386.556,520.586.974.064,516587587508.0,3999386556.0,520586974064.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,400.940.967.425,4.656.954.422,405.597.921.847,400940967425.0,4656954422.0,405597921847.0
