row_label_raw,row_label_full,STT > 1,Tên đơn vị (*) > Công ty Nam Hà Nội,Thuyết minh > (i) (xxii),Số cuối năm > Số lượng cổ phiếu > 187.800.000,Số cuối năm > 5.290.741.538.618,Giá trị ghi số > 6.009.600.000.000,"Giá trị hop lý > 93,90%",Tỷ lệ vốn nắm giữ > 106.000.000,Số lượng cổ phiếu > 1.222.636.568.618,Giá trị > 5.469.600.000.000,"Giá trị hop lý > 53,00%",Tỷ lệ vốn nắm giữ,numeric__Tên đơn vị (*) > Công ty Nam Hà Nội,numeric__Thuyết minh > (i) (xxii),numeric__Số cuối năm > Số lượng cổ phiếu > 187.800.000,numeric__Số cuối năm > 5.290.741.538.618,numeric__Giá trị ghi số > 6.009.600.000.000,"numeric__Giá trị hop lý > 93,90%",numeric__Tỷ lệ vốn nắm giữ > 106.000.000,numeric__Số lượng cổ phiếu > 1.222.636.568.618,numeric__Giá trị > 5.469.600.000.000,"numeric__Giá trị hop lý > 53,00%",numeric__Tỷ lệ vốn nắm giữ
2,2,2,Công ty Tân Liên Phát,(ii),278.375.000,4.948.890.138.887,(***),"42,50%",278.375.000,4.948.890.138.887,(***),"42,50%",,,,278375000.0,4948890138887.0,,0.425,278375000.0,4948890138887.0,,0.425,
3,3,3,Công ty Hoàng Gia,(iii) (xv),273.150.000,3.929.484.785.749,(***),"96,20%",311.550.000,4.481.900.000.000,(***),"97,36%",,,,273150000.0,3929484785749.0,,0.9620000000000001,311550000.0,4481900000000.0,,0.9736,
4,4,4,Công ty Vinpearlland,,(**),3.605.384.894.672,-,"100,00%",(**),3.605.384.894.672,-,"100,00%",,,,,3605384894672.0,,1.0,,3605384894672.0,,1.0,
5,5,5,Công ty Vincom Retail,(iv) (xv),295.140.000,2.974.398.834.032,(***),"35,79%",294.300.000,2.943.000.000.000,(***),"35,73%",,,,295140000.0,2974398834032.0,,0.3579,294300000.0,2943000000000.0,,0.35729999999999995,
6,6,6,Công ty Sài Đông,(v),112.800.300,2.212.943.935.291,3.034.328.070.000,"94,00%",112.800.300,2.212.943.935.291,6.125.056.290.000,"94,00%",,,,112800300.0,2212943935291.0,3034328070000.0,0.94,112800300.0,2212943935291.0,6125056290000.0,0.94,
7,7,7,Công ty Xavinco,(vi),190.875.000,2.071.029.000.000,(***),"95,44%",190.875.000,2.071.029.000.000,(***),"95,44%",,,,190875000.0,2071029000000.0,,0.9544,190875000.0,2071029000000.0,,0.9544,
8,8,8,Công ty Mễ Trì,(vii),56.019.514,1.810.830.790.050,(***),"67,17%",-,-,(***),-,,,,56019514.0,1810830790050.0,,0.6717,,,,,
9,9,9,Công ty Thời Đại,,(**),1.561.000.000.000,-,"100,00%",(**),1.561.000.000.000,-,"100,00%",,,,,1561000000000.0,,1.0,,1561000000000.0,,1.0,
10,10,10,Công ty Triển fiscal Việt Nam,(viii),138.810.945,1.395.329.678.450,2.679.051.238.500,"83,32%",-,-,-,-,,,,138810945.0,1395329678450.0,2679051238500.0,0.8331999999999999,,,,,
11,11,11,Công ty Vinpro,(ix) (x),(**),940.000.000.000,-,"94,00%",-,-,-,-,,,,,940000000000.0,,0.94,,,,,
12,12,12,Công ty Ngôi Sao Phương Nam,(xi),53.400.000,724.190.080.000,(***),"89,00%",-,-,-,-,,,,53400000.0,724190080000.0,,0.89,,,,,
13,13,13,Công ty Vinecom,(x) (xii),(**),577.500.000.000,-,"55,00%",(**),318.144.043.467,-,"70,00%",,,,,577500000000.0,,0.55,,318144043467.0,,0.7,
14,14,14,Công ty Vineco,(ix) (x),(**),493.600.000.000,-,"70,00%",-,-,-,-,,,,,493600000000.0,,0.7,,,,,
,,,,(xiii),,,,,,,,,,,,,,,,,,,,
15,15,15,Công ty Vinlinks,(x) (xiv),3.236.212,347.116.186.600,(***),"79,96%",-,-,-,-,,,,3236212.0,347116186600.0,,0.7996,,,,,
,,,,(xv),,,,,,,,,,,,,,,,,,,,
16,16,16,Công ty Vinhomes 1,(xvi),(**),300.000.000.000,-,"100,00%",(**),300.000.000.000,-,"100,00%",,,,,300000000000.0,,1.0,,300000000000.0,,1.0,
17,17,17,Công ty Xây dựng Vincom 1,(x) (xv),(**),220.000.000.000,-,100%,(**),120.000.000.000,-,"100,00%",,,,,220000000000.0,,1.0,,120000000000.0,,1.0,
18,18,18,Công ty BFF,,(**),198.000.000.000,-,"86,09%",(**),198.000.000.000,-,"86,09%",,,,,198000000000.0,,0.8609,,198000000000.0,,0.8609,
19,19,19,Công ty Vinaconex-Viettel,(ii),15.000.000,180.000.000.000,(***),"5,00%",-,-,-,-,,,,15000000.0,180000000000.0,,0.05,,,,,
20,20,20,Công ty Hoa Mai,(xvii),(**),170.770.000.000,-,"74,00%",-,-,-,-,,,,,170770000000.0,,0.74,,,,,
21,21,21,Công ty Xây dựng Vincom 2,(x) (xv),(**),156.100.000.000,-,"94,00%",(**),55.800.000.000,-,"94,00%",,,,,156100000000.0,,0.94,,55800000000.0,,0.94,
22,22,22,Công ty Siêu Tốc,(xviii),14.805.000,148.050.000.000,(***),"94,00%",-,-,-,-,,,,14805000.0,148050000000.0,,0.94,,,,,
23,23,23,Công ty Vinschool,(x),(**),100.000.000.000,-,"100,00%",(**),5.000.000.000,-,"100,00%",,,,,100000000000.0,,1.0,,5000000000.0,,1.0,
24,24,24,Công ty Xây dựng Vincom 3,(x),(**),33.810.000.000,-,"94,00%",(**),3.810.000.000,-,"94,00%",,,,,33810000000.0,,0.94,,3810000000.0,,0.94,
