row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,976.176.934.312,626.110.242.855,976176934312.0,626110242855.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Trong đó: > Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,Doanh thu cho thuê bất động sản đầu tư và cung cấp dịch vụ liên quan,151.784.567.459,140.837.188.229,151784567459.0,140837188229.0
Doanh thu cung cấp dịch vụ quản lý cho các công ty con,Trong đó: > Doanh thu cung cấp dịch vụ quản lý cho các công ty con,Doanh thu cung cấp dịch vụ quản lý cho các công ty con,571.695.245.486,432.382.688.690,571695245486.0,432382688690.0
Doanh thu chuyển nhượng bất động sản,Trong đó: > Doanh thu chuyển nhượng bất động sản,Doanh thu chuyển nhượng bất động sản,47.680.881.367,52.890.365.936,47680881367.0,52890365936.0
Doanh thu từ phí thương hiệu,Trong đó: > Doanh thu từ phí thương hiệu,Doanh thu từ phí thương hiệu,205.016.240.000,-,205016240000.0,
Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,-,-,,
Doanh thu thuần,Các khoản giảm trừ doanh thu > Doanh thu thuần,Doanh thu thuần,976.176.934.312,626.110.242.855,976176934312.0,626110242855.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu đối với bên khác,Trong đó: > Doanh thu đối với bên khác,Doanh thu đối với bên khác,99.071.210.519,133.650.394.619,99071210519.0,133650394619.0
Doanh thu đối với bên liên quan(Thuyết minh số 31),Trong đó: > Doanh thu đối với bên liên quan(Thuyết minh số 31),Doanh thu đối với bên liên quan(Thuyết minh số 31),877.105.723.793,492.459.848.236,877105723793.0,492459848236.0
