row_label_raw,row_label_full,col_0,Đơn vị tính:VND > Số cuối năm,Đơn vị tính:VND > Số đầu năm,numeric__Đơn vị tính:VND > Số cuối năm,numeric__Đơn vị tính:VND > Số đầu năm
Tiền mặt,Tiền mặt,Tiền mặt,157.631.730,216.302.539,157631730.0,216302539.0
Tiền gửi ngân hàng,Tiền gửi ngân hàng,Tiền gửi ngân hàng,571.135.778.659,935.050.411.820,571135778659.0,935050411820.0
Các khoản tương đương tiền,Các khoản tương đương tiền,Các khoản tương đương tiền,500.000.000.000,379.391.499.981,500000000000.0,379391499981.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.071.293.410.389,1.314.658.214.340,1071293410389.0,1314658214340.0
